year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes
2003,10,Jarvis Hayes,WAS,Georgia,21.88,79,220,,,427.0,9898.0,10.2,0.049,-2.5,-1.3,0,ht/wt from BBR listed (not combine barefoot)
2003,11,Mickaël Piétrus,GSW,,21.38,78,215,,,557.0,11950.0,19.7,0.079,-0.9,3.2,0,ht/wt from BBR listed (not combine barefoot)
2003,12,Nick Collison,SEA,Kansas,22.66,80.75,255.0,85.5,108.0,910.0,18603.0,44.5,0.115,-1.3,3.1,0,
2003,13,Marcus Banks,MEM,UNLV,21.6,74,200,,,348.0,5571.0,6.6,0.057,-2.0,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2003,14,Luke Ridnour,SEA,Oregon,22.36,73.0,167.0,75.0,95.5,830.0,21623.0,36.0,0.08,-0.6,7.5,0,
2003,15,Reece Gaines,ORL,Louisville,22.46,78,205,,,71.0,605.0,-0.6,-0.049,-6.1,-0.6,0,ht/wt from BBR listed (not combine barefoot)
2003,16,Troy Bell,BOS,Boston College,22.62,72.25,178.0,77.0,97.5,6.0,34.0,-0.2,-0.326,-19.6,-0.2,0,
2003,17,Žarko Čabarkapa,PHO,,22.1,83,235,,,150.0,1550.0,1.1,0.035,-3.9,-0.7,0,ht/wt from BBR listed (not combine barefoot)
2003,18,David West,NOH,Xavier,22.82,80.25,226.0,88.25,108.25,1034.0,29144.0,85.8,0.141,1.7,27.6,1,
2003,19,Sasha Pavlović,UTA,,19.61,80,220,,,567.0,8888.0,7.0,0.038,-3.4,-3.1,0,ht/wt from BBR listed (not combine barefoot)
2003,20,Dahntay Jones,BOS,Duke,22.49,76.75,214.0,81.0,102.5,624.0,9799.0,9.9,0.048,-3.7,-4.1,0,
2003,21,Boris Diaw,ATL,,21.19,80,250,,,1064.0,28768.0,51.6,0.086,0.1,15.5,0,ht/wt from BBR listed (not combine barefoot)
2003,22,Zoran Planinić,NJN,,20.79,79,195,,,148.0,1584.0,1.5,0.046,-3.5,-0.6,0,ht/wt from BBR listed (not combine barefoot)
2003,23,Travis Outlaw,POR,,18.77,81,210,,,622.0,13026.0,16.5,0.061,-1.4,2.1,0,ht/wt from BBR listed (not combine barefoot)
2003,24,Brian Cook,LAL,Illinois,22.56,81.5,234.0,86.0,109.0,421.0,5649.0,10.2,0.086,-1.6,0.5,0,
2003,25,Carlos Delfino,DET,,20.82,78,230,,,507.0,11580.0,22.5,0.093,0.5,7.2,0,ht/wt from BBR listed (not combine barefoot)
2003,26,Ndudi Ebi,MIN,,19.02,81,200,,,19.0,86.0,0.1,0.051,-3.8,0.0,0,ht/wt from BBR listed (not combine barefoot)
2003,27,Kendrick Perkins,MEM,,18.62,82,270,,,782.0,17162.0,27.9,0.078,-1.9,0.6,0,ht/wt from BBR listed (not combine barefoot)
2003,28,Leandro Barbosa,SAS,,20.57,75,194,,,850.0,18386.0,37.4,0.098,-0.2,8.6,0,ht/wt from BBR listed (not combine barefoot)
2003,29,Josh Howard,DAL,Wake Forest,23.16,77.25,202.0,86.0,105.5,507.0,15350.0,38.0,0.119,0.6,10.0,1,
2003,30,Maciej Lampe,NYK,,18.38,83,275,,,64.0,632.0,-0.2,-0.014,-7.0,-0.8,0,ht/wt from BBR listed (not combine barefoot)
2003,31,Jason Kapono,CLE,UCLA,22.39,78.5,215.0,78.5,102.0,509.0,9068.0,10.3,0.055,-2.6,-1.3,0,
2003,32,Luke Walton,LAL,Arizona,23.24,79.75,235.0,80.5,104.0,564.0,9685.0,13.5,0.067,-1.0,2.5,0,
2003,33,Jerome Beasley,MIA,University of North Dakota,23.11,81.0,237.0,84.5,107.0,2.0,5.0,0.0,-0.117,-5.2,0.0,0,
2003,34,Sofoklis Schortsanitis,LAC,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,35,Szymon Szewczyk,MIL,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,36,Mario Austin,CHI,Mississippi State,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,37,Travis Hansen,ATL,BYU,25.2,76.5,200.0,78.5,100.5,41.0,507.0,0.2,0.019,-6.2,-0.5,0,
2003,38,Steve Blake,WAS,Maryland,23.33,75,172,,,870.0,20823.0,29.1,0.067,-1.2,4.2,0,ht/wt from BBR listed (not combine barefoot)
2003,39,Slavko Vraneš,NYK,,20.4,89,275,,,1.0,3.0,0.0,-0.371,-26.2,0.0,0,ht/wt from BBR listed (not combine barefoot)
2003,40,Derrick Zimmerman,GSW,Mississippi State,21.56,73.0,190.0,81.0,96.25,2.0,32.0,0.0,0.004,-10.4,-0.1,0,
2003,41,Willie Green,SEA,Detroit Mercy,21.91,74.5,201.0,79.25,100.0,731.0,14783.0,12.9,0.042,-2.7,-2.7,0,
2003,42,Zaza Pachulia,ORL,,19.37,83,270,,,1098.0,22240.0,52.7,0.114,-1.5,2.9,0,ht/wt from BBR listed (not combine barefoot)
2003,43,Keith Bogans,MIL,Kentucky,23.12,76.25,213.0,81.25,101.0,671.0,14527.0,20.4,0.068,-1.5,1.9,0,
2003,44,Malick Badiane,HOU,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,45,Matt Bonner,CHI,Florida,23.22,80.5,242.0,80.75,105.5,792.0,13356.0,38.5,0.138,1.0,10.1,0,
2003,46,Sani Bečirovič,DEN,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,47,Mo Williams,UTA,Alabama,20.52,72.75,189.0,77.5,98.5,818.0,23872.0,40.0,0.08,-0.3,10.0,1,
2003,48,James Lang,NOH,,19.69,80.25,316.0,90.25,110.0,11.0,55.0,0.1,0.047,-6.4,-0.1,0,
2003,49,James Jones,IND,Miami (FL),22.72,79.25,218.0,86.5,107.5,709.0,11098.0,25.2,0.109,-0.1,5.4,0,
2003,50,Paccelis Morlende,PHI,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,51,Kyle Korver,NJN,Creighton,22.28,78.25,211.0,81.5,102.5,1232.0,31183.0,73.4,0.113,0.6,20.7,1,
2003,52,Remon van de Hare,TOR,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,53,Tommy Smith,CHI,Arizona State,,81.0,200.0,86.5,107.5,,,,,,,0,no NBA stats on BBR (never played)
2003,54,Nedžad Sinanović,POR,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,55,Rick Rickert,MIN,Minnesota,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,56,Brandon Hunter,BOS,Ohio University,22.58,78.5,266.0,86.75,105.5,67.0,630.0,0.7,0.055,-3.7,-0.3,0,
2003,57,Xue Yuyang,DAL,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2003,58,Andreas Glyniadakis,DET,,21.85,85,280,,,13.0,81.0,-0.2,-0.143,-14.0,-0.2,0,ht/wt from BBR listed (not combine barefoot)
2004,1,Dwight Howard,ORL,,18.54,81.0,240.0,88.5,111.5,1242.0,39457.0,141.7,0.172,1.9,39.0,1,
2004,2,Emeka Okafor,CHA,UConn,21.74,80.75,257.0,88.0,110.5,616.0,19055.0,45.3,0.114,-0.6,6.8,0,
2004,3,Ben Gordon,CHI,UConn,21.22,73.0,192.0,80.5,99.0,744.0,20366.0,33.3,0.078,-0.3,8.7,0,
2004,4,Shaun Livingston,LAC,,18.78,78.25,186.0,83.0,105.5,833.0,17188.0,29.9,0.084,-1.0,4.3,0,
2004,5,Devin Harris,WAS,Wisconsin,21.32,73.75,170.0,79.5,98.5,985.0,23963.0,54.9,0.11,0.6,15.5,1,
2004,6,Josh Childress,ATL,Stanford,21.01,77.75,196.0,83.0,105.0,391.0,10432.0,25.7,0.118,0.8,7.4,0,
2004,7,Luol Deng,PHO,Duke,19.19,79.0,220.0,84.5,108.5,902.0,30941.0,74.0,0.115,0.9,22.9,1,
2004,8,Rafael Araújo,TOR,BYU,23.87,83,280,,,139.0,1585.0,-0.4,-0.013,-7.2,-2.1,0,ht/wt from BBR listed (not combine barefoot)
2004,9,Andre Iguodala,PHI,Arizona,20.41,77.75,217.0,83.0,105.5,1231.0,39507.0,100.4,0.122,2.1,41.3,1,
2004,10,Luke Jackson,CLE,Oregon,22.63,78.0,212.0,80.5,103.0,73.0,724.0,0.2,0.01,-3.7,-0.3,0,
2004,11,Andris Biedriņš,GSW,,18.23,83,240,,,516.0,11146.0,30.7,0.132,-0.4,4.6,0,ht/wt from BBR listed (not combine barefoot)
2004,12,Robert Swift,SEA,,18.56,84,245,,,97.0,1500.0,1.7,0.054,-3.8,-0.7,0,ht/wt from BBR listed (not combine barefoot)
2004,13,Sebastian Telfair,POR,,19.04,72,165,,,564.0,12149.0,5.0,0.02,-3.4,-4.2,0,ht/wt from BBR listed (not combine barefoot)
2004,14,Kris Humphries,UTA,Minnesota,19.38,80.25,238.0,84.5,106.5,800.0,14232.0,30.3,0.102,-1.7,1.2,0,
2004,15,Al Jefferson,BOS,,19.47,80.5,263.0,86.5,110.0,915.0,26299.0,71.0,0.13,1.2,21.3,0,
2004,16,Kirk Snyder,UTA,Nevada,21.05,78.0,228.0,81.0,104.0,211.0,3540.0,4.5,0.061,-1.2,0.7,0,
2004,17,Josh Smith,ATL,,18.55,79.0,221.0,84.0,106.5,894.0,29000.0,51.0,0.084,1.7,27.2,0,
2004,18,J.R. Smith,NOH,,18.79,77.5,227.0,82.0,104.0,977.0,26275.0,46.3,0.084,0.2,14.7,0,
2004,19,Dorell Wright,MIA,,18.56,81,205,,,549.0,12280.0,25.9,0.101,0.9,9.1,0,ht/wt from BBR listed (not combine barefoot)
2004,20,Jameer Nelson,DEN,Saint Joseph's,22.37,71.0,199.0,74.5,95.0,878.0,24539.0,48.3,0.094,-0.1,11.6,1,
2004,21,Pavel Podkolzin,UTA,,19.44,87.5,303.0,89.75,116.0,6.0,28.0,-0.1,-0.163,-15.0,-0.1,0,combine matched year-1
2004,22,Viktor Khryapa,NJN,,21.89,81,210,,,143.0,2351.0,2.0,0.041,-3.5,-0.9,0,ht/wt from BBR listed (not combine barefoot)
2004,23,Sergei Monia,POR,,21.19,80,220,,,26.0,343.0,-0.2,-0.025,-5.3,-0.3,0,ht/wt from BBR listed (not combine barefoot)
2004,24,Delonte West,BOS,Saint Joseph's,20.91,73.5,183.0,78.0,99.5,432.0,11842.0,24.5,0.099,0.9,8.7,0,
2004,25,Tony Allen,BOS,Oklahoma State,22.45,75.5,214.0,81.0,102.0,820.0,18055.0,38.7,0.103,0.3,10.4,0,
2004,26,Kevin Martin,SAC,Western Carolina University,21.39,79,199,,,714.0,21559.0,61.3,0.137,1.0,16.1,0,ht/wt from BBR listed (not combine barefoot)
2004,27,Sasha Vujačić,LAL,,20.3,77.5,193.0,77.5,101.0,581.0,8908.0,16.0,0.086,-1.0,2.3,0,combine matched year-1
2004,28,Beno Udrih,SAS,,21.97,74.5,199.0,76.5,98.0,831.0,18185.0,31.4,0.083,-0.9,4.9,0,
2004,29,David Harrison,IND,Colorado,21.86,84,280,,,189.0,2686.0,3.2,0.057,-4.4,-1.7,0,ht/wt from BBR listed (not combine barefoot)
2004,30,Anderson Varejão,ORL,,21.74,83,273,,,632.0,15087.0,46.4,0.148,0.3,8.8,0,ht/wt from BBR listed (not combine barefoot)
2004,31,Jackson Vroman,CHI,Iowa State,23.05,81.25,226.0,84.0,105.5,87.0,1111.0,0.0,0.001,-5.1,-0.9,0,
2004,32,Peter John Ramos,WAS,,19.12,87,275,,,6.0,20.0,0.0,-0.108,-10.0,0.0,0,ht/wt from BBR listed (not combine barefoot)
2004,33,Lionel Chalmers,LAC,Xavier,23.62,72,180,,,36.0,433.0,-0.2,-0.025,-5.3,-0.4,0,ht/wt from BBR listed (not combine barefoot)
2004,34,Donta Smith,ATL,Southeastern Illinois College,20.57,79,215,,,61.0,560.0,0.5,0.043,-3.2,-0.2,0,ht/wt from BBR listed (not combine barefoot)
2004,35,Andre Emmett,SEA,Texas Tech,21.83,75.5,216.0,81.0,100.0,14.0,73.0,0.1,0.04,-5.5,-0.1,0,
2004,36,Antonio Burks,ORL,Memphis,24.33,72.0,191.0,78.5,96.5,81.0,789.0,0.1,0.004,-5.0,-0.6,0,
2004,37,Royal Ivey,ATL,Texas,22.51,75,200,,,492.0,6162.0,4.5,0.035,-3.8,-2.7,0,ht/wt from BBR listed (not combine barefoot)
2004,38,Chris Duhon,CHI,Duke,21.82,72.0,193.0,78.5,98.0,606.0,15526.0,25.0,0.077,-1.2,3.2,0,
2004,39,Albert Miralles,TOR,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2004,40,Justin Reed,BOS,Ole Miss,22.44,80,240,,,136.0,1436.0,0.5,0.016,-5.9,-1.4,0,ht/wt from BBR listed (not combine barefoot)
2004,41,David Young,SEA,NC Central,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2004,42,Viktor Sanikidze,ATL,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2004,43,Trevor Ariza,NYK,UCLA,18.98,79.0,201.0,86.0,107.5,1118.0,32953.0,64.3,0.094,0.6,21.8,0,
2004,44,Tim Pickett,NOH,Florida State,,75.0,207.0,79.5,100.5,,,,,,,0,no NBA stats on BBR (never played)
2004,45,Bernard Robinson,CHA,Michigan,23.49,77.25,208.0,82.0,102.0,128.0,1909.0,2.0,0.049,-2.0,0.0,0,
2004,46,Ha Seung-Jin,POR,,18.89,87,305,,,46.0,316.0,-0.2,-0.029,-8.8,-0.5,0,ht/wt from BBR listed (not combine barefoot)
2004,47,Pape Sow,MIA,Cal State Fullerton,22.59,80.5,233.0,86.0,108.5,76.0,879.0,0.8,0.044,-5.7,-0.8,0,
2004,48,Ricky Minard,SAC,Morehead State University,,75.25,198.0,79.0,101.5,,,,,,,0,no NBA stats on BBR (never played)
2004,49,Sergei Lishouk,MEM,,,82.25,244.0,84.0,109.5,,,,,,,0,no NBA stats on BBR (never played)
2004,50,Vassilis Spanoulis,DAL,,21.88,76,195,,,31.0,272.0,-0.1,-0.01,-5.9,-0.3,0,ht/wt from BBR listed (not combine barefoot)
2004,51,Christian Drejer,NJN,Florida,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2004,52,Romain Sato,SAS,Xavier,,74.0,204.0,83.0,102.5,,,,,,,0,no NBA stats on BBR (never played)
2004,53,Matt Freije,MIA,Vanderbilt,22.73,80.25,234.0,85.0,108.5,42.0,588.0,-0.6,-0.047,-6.0,-0.6,0,
2004,54,Rickey Paulding,DET,Missouri,,74.75,210.0,81.5,101.5,,,,,,,0,no NBA stats on BBR (never played)
2004,55,Luis Flores,HOU,Manhattan University,23.2,72.5,202.0,79.5,98.5,16.0,77.0,0.0,-0.02,-4.8,0.0,0,
2004,56,Marcus Douthit,LAL,Providence,,81.5,223.0,88.0,111.5,,,,,,,0,no NBA stats on BBR (never played)
2004,57,Sergei Karaulov,SAS,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2004,58,Blake Stepp,MIN,Gonzaga,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2004,59,Rashad Wright,IND,Georgia,,72.5,190.0,82.0,98.5,,,,,,,0,no NBA stats on BBR (never played)
2005,1,Andrew Bogut,MIL,Utah,20.58,83.0,250.6,87.0,110.5,706.0,19862.0,50.6,0.122,1.2,16.0,0,
2005,2,Marvin Williams,ATL,UNC,19.03,79.0,228.2,87.5,108.0,1072.0,30159.0,65.1,0.104,-0.4,12.3,0,
2005,3,Deron Williams,UTA,Illinois,21.0,73.75,202.4,78.25,98.0,845.0,28865.0,77.3,0.129,1.9,28.3,1,
2005,4,Chris Paul,NOH,Wake Forest,20.15,71.75,178.0,76.25,93.0,1370.0,45836.0,215.2,0.225,6.5,98.8,1,
2005,5,Raymond Felton,CHA,UNC,21.0,71.5,199.4,76.25,98.0,971.0,28829.0,40.2,0.067,-0.6,10.1,0,
2005,6,Martell Webster,POR,,18.57,78.0,229.6,83.0,106.0,580.0,13914.0,24.7,0.085,-0.8,4.3,0,
2005,7,Charlie Villanueva,TOR,UConn,20.84,81.0,236.6,84.25,109.0,656.0,13578.0,22.6,0.08,-0.6,4.7,0,
2005,8,Channing Frye,NYK,Arizona,22.12,81.5,243.6,86.5,110.5,890.0,19772.0,38.9,0.094,-0.4,8.0,0,
2005,9,Ike Diogu,GSW,Arizona State,21.8,78.5,255.4,87.5,109.0,225.0,2795.0,6.5,0.112,-3.0,-0.7,0,
2005,10,Andrew Bynum,LAL,,17.67,84,285,,,418.0,10690.0,37.4,0.168,1.4,9.1,1,ht/wt from BBR listed (not combine barefoot)
2005,11,Fran Vázquez,ORL,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2005,12,Yaroslav Korolev,LAC,,18.14,81,203,,,34.0,168.0,-0.1,-0.024,-5.2,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2005,13,Sean May,CHA,UNC,21.23,79.0,258.8,85.25,105.0,119.0,1868.0,2.6,0.068,-1.7,0.2,0,
2005,14,Rashad McCants,MIN,UNC,20.76,74.75,201.0,82.75,103.5,249.0,5037.0,3.6,0.035,-1.7,0.4,0,
2005,15,Antoine Wright,NJN,Texas A&M,21.39,77.25,202.6,80.75,104.5,297.0,5714.0,3.1,0.026,-3.7,-2.4,0,
2005,16,Joey Graham,TOR,Oklahoma State,23.05,77.25,216.6,80.0,104.0,377.0,6117.0,7.8,0.061,-3.6,-2.4,0,
2005,17,Danny Granger,IND,New Mexico,22.19,79.5,225.4,85.5,103.0,586.0,18487.0,48.5,0.126,1.8,17.7,1,
2005,18,Gerald Green,BOS,,19.42,78.0,192.0,81.75,104.0,658.0,13026.0,18.4,0.068,-1.3,2.4,0,
2005,19,Hakim Warrick,MEM,Syracuse,22.97,79.25,215.0,86.0,108.0,526.0,10624.0,20.4,0.092,-1.9,0.4,0,
2005,20,Julius Hodge,DEN,NC State,21.61,78.0,202.2,84.5,107.5,23.0,98.0,0.0,0.003,-3.7,0.0,0,
2005,21,Nate Robinson,PHO,Washington,21.08,67.75,181.0,73.0,91.5,618.0,13878.0,27.8,0.096,0.5,8.6,0,combine matched year-1
2005,22,Jarrett Jack,DEN,Georgia Tech,21.67,74.5,197.6,79.5,100.0,867.0,24140.0,36.8,0.073,-0.9,6.5,0,
2005,23,Francisco García,SAC,Louisville,23.49,77.75,189.6,82.75,103.0,549.0,11853.0,18.2,0.074,-0.1,5.7,0,
2005,24,Luther Head,HOU,Illinois,22.59,74.0,178.8,77.25,98.5,348.0,7797.0,14.7,0.09,0.1,4.2,0,
2005,25,Johan Petro,SEA,,19.42,84,247,,,473.0,7262.0,5.5,0.037,-4.6,-4.6,0,ht/wt from BBR listed (not combine barefoot)
2005,26,Jason Maxiell,DET,Cincinnati,22.36,77.0,257.6,87.25,107.0,618.0,11379.0,20.3,0.086,-2.5,-1.4,0,
2005,27,Linas Kleiza,POR,Missouri,20.48,80,245,,,409.0,8185.0,13.6,0.08,-2.3,-0.7,0,ht/wt from BBR listed (not combine barefoot)
2005,28,Ian Mahinmi,SAS,,18.64,83,262,,,618.0,10353.0,26.1,0.121,-2.0,0.1,0,ht/wt from BBR listed (not combine barefoot)
2005,29,Wayne Simien,MIA,Kansas,22.31,79.25,255.8,84.0,107.0,51.0,507.0,0.9,0.083,-4.4,-0.3,0,
2005,30,David Lee,NYK,Florida,22.17,79.75,229.5,84.0,106.5,829.0,24293.0,76.0,0.15,1.1,19.2,1,
2005,31,Salim Stoudamire,ATL,Arizona,22.71,73,179,,,157.0,2672.0,2.2,0.04,-2.9,-0.6,0,ht/wt from BBR listed (not combine barefoot)
2005,32,Daniel Ewing,LAC,Duke,22.26,75,185,,,127.0,1683.0,0.8,0.024,-3.0,-0.4,0,ht/wt from BBR listed (not combine barefoot)
2005,33,Brandon Bass,NOH,LSU,20.16,78.25,246.0,86.5,106.5,758.0,16410.0,42.8,0.125,-0.8,5.1,0,combine matched year-1
2005,34,C.J. Miles,UTA,,18.28,78,220,,,849.0,17284.0,30.1,0.084,-0.4,6.9,0,ht/wt from BBR listed (not combine barefoot)
2005,35,Ricky Sánchez,POR,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2005,36,Ersan İlyasova,MIL,,18.12,79.75,208.8,85.25,109.5,825.0,18957.0,48.8,0.124,-0.1,9.0,0,
2005,37,Ronny Turiaf,LAL,Gonzaga,22.46,80.0,237.8,85.5,106.5,473.0,8020.0,19.2,0.115,0.3,4.7,0,
2005,38,Travis Diener,ORL,Marquette,23.33,71.75,165.2,71.75,93.5,179.0,2660.0,5.6,0.102,-0.4,1.1,0,
2005,39,Von Wafer,LAL,Florida State,19.94,77,210,,,200.0,2475.0,3.3,0.064,-1.8,0.1,0,ht/wt from BBR listed (not combine barefoot)
2005,40,Monta Ellis,GSW,,19.67,74.25,176.6,74.75,98.0,833.0,29011.0,41.9,0.069,-0.3,12.4,0,
2005,41,Roko Ukić,TOR,,21.13,77,183,,,85.0,987.0,-0.2,-0.007,-4.3,-0.6,0,ht/wt from BBR listed (not combine barefoot)
2005,42,Chris Taft,GSW,Pitt,20.3,80.5,261.0,85.75,109.0,17.0,144.0,0.5,0.155,-0.7,0.0,0,
2005,43,Mile Ilić,NJN,,21.07,85,230,,,5.0,6.0,-0.2,-1.264,-52.0,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2005,44,Martynas Andriuškevičius,ORL,,19.3,85.25,227.8,83.25,112.5,6.0,9.0,0.0,0.155,5.2,0.0,0,
2005,45,Lou Williams,PHI,,18.67,74,175,,,1123.0,27104.0,65.7,0.116,1.4,23.2,0,ht/wt from BBR listed (not combine barefoot)
2005,46,Erazem Lorbek,IND,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2005,47,Bracey Wright,MIN,Indiana,20.99,73.25,186.8,82.0,100.5,26.0,325.0,0.5,0.068,-1.6,0.0,0,
2005,48,Mickaël Gelabale,SEA,,22.1,79,215,,,145.0,2348.0,3.0,0.062,-2.1,0.0,0,ht/wt from BBR listed (not combine barefoot)
2005,49,Andray Blatche,WAS,,18.85,83,235,,,564.0,12462.0,19.2,0.074,-0.8,3.8,0,ht/wt from BBR listed (not combine barefoot)
2005,50,Ryan Gomes,BOS,Providence,22.82,78.5,248.0,86.0,106.5,487.0,13463.0,19.4,0.069,-1.6,1.4,0,combine matched year-1
2005,51,Robert Whaley,UTA,Walsh University,23.2,80.0,269.4,86.0,108.0,23.0,212.0,0.0,0.004,-5.1,-0.2,0,
2005,52,Axel Hervelle,DEN,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2005,53,Orien Greene,BOS,Louisiana,23.39,76,208,,,131.0,1555.0,-0.7,-0.022,-4.6,-1.0,0,ht/wt from BBR listed (not combine barefoot)
2005,54,Dijon Thompson,NYK,UCLA,22.34,78.25,195.8,81.75,105.5,16.0,93.0,0.2,0.102,-0.5,0.0,0,
2005,55,Lawrence Roberts,SEA,Mississippi State,22.69,79.5,233.0,81.5,106.5,87.0,1150.0,2.5,0.106,-1.9,0.0,0,combine matched year-1
2005,56,Amir Johnson,DET,,18.16,81,240,,,870.0,18323.0,55.3,0.145,0.3,10.6,0,ht/wt from BBR listed (not combine barefoot)
2005,57,Marcin Gortat,PHO,,21.36,83.0,225.2,87.5,110.0,806.0,20691.0,61.3,0.142,0.4,12.7,0,
2005,58,Uroš Slokar,TOR,,22.12,82,238,,,20.0,72.0,0.1,0.042,-5.6,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2005,59,Cenk Akyol,ATL,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2005,60,Alex Acker,DET,Pepperdine,22.43,75.75,183.0,84.0,102.5,30.0,234.0,-0.2,-0.043,-5.3,-0.2,0,
2006,1,Andrea Bargnani,TOR,,20.67,84,245,,,550.0,15806.0,18.9,0.057,-1.6,1.5,0,ht/wt from BBR listed (not combine barefoot)
2006,2,LaMarcus Aldridge,CHI,Texas,20.94,82.0,234.0,88.75,110.0,1076.0,36242.0,115.6,0.153,1.7,33.4,1,
2006,3,Adam Morrison,CHA,Gonzaga,21.94,78.5,198.0,82.0,105.0,161.0,3278.0,-1.4,-0.021,-5.0,-2.4,0,
2006,4,Tyrus Thomas,POR,LSU,19.86,79.25,217.0,87.0,108.0,402.0,7932.0,13.0,0.078,-1.2,1.7,0,
2006,5,Shelden Williams,ATL,Duke,22.69,79.5,258.0,88.25,104.0,361.0,5586.0,9.9,0.085,-3.0,-1.5,0,
2006,6,Brandon Roy,MIN,Washington,21.93,77.25,207.0,80.0,101.0,326.0,11561.0,37.4,0.155,3.6,16.3,1,
2006,7,Randy Foye,BOS,Villanova,22.76,74.25,212.0,78.25,97.0,752.0,19279.0,23.5,0.058,-1.2,3.8,0,
2006,8,Rudy Gay,HOU,UConn,19.86,79.0,222.0,87.0,107.5,1120.0,34561.0,61.0,0.085,0.6,22.4,0,
2006,9,Patrick O'Bryant,GSW,Bradley,20.02,83.0,249.0,89.75,113.0,90.0,524.0,0.5,0.046,-4.6,-0.3,0,
2006,10,Mouhamed Sene,SEA,,20.13,83.0,237.0,92.5,113.0,47.0,260.0,0.3,0.052,-5.1,-0.2,0,
2006,11,JJ Redick,ORL,Duke,22.01,76.0,190.0,75.25,97.5,940.0,23964.0,63.7,0.128,0.6,16.0,0,
2006,12,Hilton Armstrong,NOK,UConn,21.63,81.5,240.0,88.0,109.0,292.0,3378.0,3.9,0.055,-4.1,-1.8,0,
2006,13,Thabo Sefolosha,PHI,,22.15,78,215,,,869.0,19062.0,39.3,0.099,0.6,12.4,0,ht/wt from BBR listed (not combine barefoot)
2006,14,Ronnie Brewer,UTA,Arkansas,21.27,77.75,223.0,83.25,103.5,502.0,11539.0,30.4,0.127,1.6,10.6,0,
2006,15,Cedric Simmons,NOK,NC State,20.48,80.25,223.0,88.25,108.5,75.0,705.0,0.1,0.005,-5.0,-0.5,0,
2006,16,Rodney Carney,CHI,Memphis,22.2,76.5,204.0,82.0,103.5,299.0,4600.0,6.2,0.064,-1.6,0.5,0,
2006,17,Shawne Williams,IND,Memphis,20.36,79.25,227.0,87.0,104.0,314.0,5368.0,6.7,0.06,-2.2,-0.3,0,
2006,18,Oleksiy Pecherov,WAS,,20.55,84,232,,,111.0,1044.0,0.5,0.025,-4.8,-0.7,0,ht/wt from BBR listed (not combine barefoot)
2006,19,Quincy Douby,SAC,Rutgers University,22.12,75,175,,,143.0,1535.0,0.0,0.0,-3.5,-0.6,0,ht/wt from BBR listed (not combine barefoot)
2006,20,Renaldo Balkman,NYK,South Carolina,21.95,77.25,206.0,85.0,104.5,221.0,3064.0,7.2,0.113,0.1,1.6,0,
2006,21,Rajon Rondo,PHO,Kentucky,20.34,73,180,,,957.0,28571.0,61.8,0.104,1.2,23.2,1,ht/wt from BBR listed (not combine barefoot)
2006,22,Marcus Williams,NJN,UConn,20.57,74.0,215.0,79.0,97.5,203.0,3095.0,0.0,-0.001,-3.3,-1.0,0,
2006,23,Josh Boone,NJN,UConn,21.6,82,237,,,256.0,4482.0,9.1,0.097,-2.0,0.0,0,ht/wt from BBR listed (not combine barefoot)
2006,24,Kyle Lowry,MEM,Villanova,20.26,72,196,,,1187.0,36798.0,112.4,0.147,2.6,43.1,1,ht/wt from BBR listed (not combine barefoot)
2006,25,Shannon Brown,CLE,Michigan State,20.58,76,205,,,408.0,7329.0,9.2,0.06,-1.5,1.0,0,ht/wt from BBR listed (not combine barefoot)
2006,26,Jordan Farmar,LAL,UCLA,19.58,72.75,171.0,75.0,94.5,504.0,9840.0,13.9,0.068,-0.5,3.7,0,
2006,27,Sergio Rodríguez,PHO,,20.04,75,176,,,353.0,5281.0,4.3,0.039,-2.0,0.1,0,ht/wt from BBR listed (not combine barefoot)
