year,pick,player,team,college_or_intl,age_at_draft,height_in,weight_lbs,wingspan_in,standing_reach_in,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,allstar,notes
2001,4,Eddy Curry,CHI,,18.56,82.5,301.0,90.5,111.0,527.0,13109.0,21.7,0.08,-2.4,-1.3,0,
2001,5,Jason Richardson,GSW,Michigan State,20.43,76.75,213.0,83.5,102.5,857.0,29241.0,59.1,0.097,1.2,23.8,0,
2001,6,Shane Battier,MEM,Duke,22.8,80.25,229.0,82.5,105.0,977.0,30004.0,75.7,0.121,1.7,28.2,0,
2001,7,Eddie Griffin,NJN,Seton Hall,19.08,81.25,222.0,87.0,110.0,303.0,6729.0,10.9,0.078,-0.4,2.8,0,
2001,8,DeSagana Diop,CLE,,19.41,82.0,314.0,90.5,113.0,601.0,8403.0,12.8,0.073,-1.9,0.2,0,
2001,9,Rodney White,DET,UNC Charlotte,21.0,79.5,243.0,83.5,104.5,218.0,3354.0,1.8,0.026,-2.2,-0.1,0,
2001,10,Joe Johnson,BOS,Arkansas,19.99,78.75,226.0,81.0,105.0,1277.0,44236.0,82.9,0.09,0.4,26.5,1,
2001,11,Kedrick Brown,BOS,Okaloosa-Walton Community College,20.28,79,222,,,143.0,1935.0,3.0,0.074,-1.1,0.4,0,ht/wt from BBR listed (not combine barefoot)
2001,12,Vladimir Radmanović,SEA,,20.6,82,227,,,737.0,16164.0,26.5,0.079,-0.1,7.6,0,ht/wt from BBR listed (not combine barefoot)
2001,13,Richard Jefferson,HOU,Arizona,21.02,79.25,223.0,84.0,103.0,1181.0,34293.0,83.0,0.116,0.2,19.4,0,
2001,14,Troy Murphy,GSW,Notre Dame,21.15,81.75,230.0,83.0,105.5,729.0,19921.0,50.3,0.121,0.1,10.6,0,
2001,15,Steven Hunter,ORL,DePaul,19.66,82.25,224.0,88.0,108.0,400.0,5993.0,10.6,0.085,-2.3,-0.5,0,
2001,16,Kirk Haston,CHH,Indiana,22.3,80.0,242.0,84.25,106.0,27.0,134.0,-0.5,-0.197,-13.3,-0.4,0,
2001,17,Michael Bradley,TOR,Villanova,22.19,81.5,227.0,85.5,107.0,173.0,2016.0,2.0,0.047,-4.0,-1.0,0,
2001,18,Jason Collins,HOU,Stanford,22.57,82.25,251.0,88.5,110.0,735.0,14974.0,20.1,0.064,-3.7,-6.5,0,
2001,19,Zach Randolph,POR,Michigan State,19.95,81,250,,,1116.0,34616.0,81.1,0.112,0.2,18.8,1,ht/wt from BBR listed (not combine barefoot)
2001,20,Brendan Haywood,CLE,UNC,21.58,83.75,266.0,90.5,113.5,816.0,18680.0,43.8,0.113,-1.4,2.9,0,
2001,21,Joseph Forte,BOS,UNC,20.26,75.5,193.0,78.5,100.5,25.0,125.0,-0.4,-0.166,-8.6,-0.2,0,
2001,22,Jeryl Sasser,ORL,SMU,22.37,77.5,194.0,82.5,103.5,82.0,1061.0,0.7,0.032,-2.5,-0.1,0,
2001,23,Brandon Armstrong,HOU,Pepperdine,21.03,75.5,188.0,81.5,99.5,108.0,699.0,-0.6,-0.039,-8.0,-1.0,0,
2001,24,Raül López,UTA,,21.2,73,170,,,113.0,2135.0,2.1,0.047,-2.4,-0.2,0,ht/wt from BBR listed (not combine barefoot)
2001,25,Gerald Wallace,SAC,Alabama,18.93,79,215,,,832.0,24731.0,59.7,0.116,1.8,23.5,1,ht/wt from BBR listed (not combine barefoot)
2001,26,Samuel Dalembert,PHI,Seton Hall,20.13,83,255,,,886.0,21646.0,51.3,0.114,-1.1,4.6,0,ht/wt from BBR listed (not combine barefoot)
2001,27,Jamaal Tinsley,MEM,Iowa State,23.33,72.75,199.0,79.5,97.5,547.0,14443.0,17.2,0.057,0.0,7.1,0,
2001,28,Tony Parker,SAS,,19.11,74,185,,,1254.0,38279.0,111.3,0.14,1.1,30.1,1,ht/wt from BBR listed (not combine barefoot)
2001,30,Trenton Hassell,CHI,Austin Peay State University,22.32,76.25,205.0,80.0,99.5,644.0,16278.0,13.8,0.041,-2.9,-3.7,0,
2001,31,Gilbert Arenas,GSW,Arizona,19.47,74.25,199.0,81.5,99.5,552.0,19351.0,51.3,0.127,2.6,22.3,1,
2001,32,Omar Cook,ORL,St. John's,19.41,71.5,189.0,77.5,92.0,22.0,213.0,-0.1,-0.021,-2.7,0.0,0,
2001,33,Will Solomon,MEM,Clemson,22.94,71.75,172.0,81.5,99.5,115.0,1584.0,0.0,0.0,-3.3,-0.5,0,
2001,34,Terence Morris,ATL,Maryland,22.46,81,221,,,139.0,1934.0,1.0,0.025,-2.8,-0.4,0,ht/wt from BBR listed (not combine barefoot)
2001,35,Brian Scalabrine,NJN,USC,23.28,80.75,241.0,81.75,105.5,520.0,6772.0,7.6,0.054,-2.7,-1.2,0,
2001,36,Jeff Trepagnier,CLE,USC,21.96,76,200,,,31.0,270.0,-0.2,-0.038,-2.8,-0.1,0,ht/wt from BBR listed (not combine barefoot)
2001,37,Damone Brown,PHI,Syracuse,22.0,80.25,202.0,83.75,104.5,39.0,351.0,-0.7,-0.1,-8.6,-0.6,0,
2001,38,Mehmet Okur,DET,,22.09,83,249,,,634.0,18429.0,54.7,0.142,1.1,14.5,1,ht/wt from BBR listed (not combine barefoot)
2001,39,Michael Wright,NYK,Arizona,,79.0,247.0,83.5,106.5,,,,,,,0,no NBA stats on BBR (never played)
2001,40,Earl Watson,SEA,UCLA,22.04,72.0,184.0,78.75,97.0,878.0,19494.0,19.2,0.047,-1.4,2.8,0,
2001,41,Jamison Brewer,IND,Auburn,20.6,74.5,178.0,80.75,102.5,54.0,468.0,0.0,-0.001,-2.4,0.0,0,
2001,42,Bobby Simmons,SEA,DePaul,21.07,78.25,235.0,84.25,105.0,466.0,11513.0,20.1,0.084,-0.7,3.6,0,
2001,43,Eric Chenowith,NYK,Kansas,,85.0,264.0,88.0,111.0,,,,,,,0,no NBA stats on BBR (never played)
2001,44,Kyle Hill,DAL,Eastern Illinois University,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2001,45,Sean Lampley,CHI,California,21.82,77.5,213.0,81.25,101.0,45.0,550.0,1.1,0.096,-1.7,0.0,0,
2001,46,Loren Woods,MIN,Arizona,23.02,84.75,246.0,89.5,113.0,215.0,2428.0,3.1,0.062,-2.5,-0.3,0,
2001,47,Ousmane Cisse,DEN,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2001,48,Antonis Fotsis,MEM,,20.24,81.25,219.0,80.5,106.0,28.0,320.0,0.1,0.017,-3.4,-0.1,0,combine matched year-1
2001,49,Ken Johnson,MIA,Ohio State,23.4,82.75,227.0,88.0,109.5,16.0,156.0,0.0,-0.002,-6.8,-0.2,0,
2001,50,Ruben Boumtje-Boumtje,POR,Georgetown,23.1,83.5,245.0,88.0,111.0,44.0,276.0,0.2,0.027,-5.4,-0.2,0,
2001,51,Alton Ford,PHO,Houston,20.08,80.25,271.0,82.5,102.5,73.0,524.0,0.8,0.074,-6.4,-0.6,0,
2001,52,Andre Hutson,MIL,Michigan State,,80.25,244.0,83.75,105.5,,,,,,,0,no NBA stats on BBR (never played)
2001,53,Jarron Collins,UTA,Stanford,22.57,81.25,252.0,87.0,104.0,542.0,8542.0,15.7,0.088,-3.1,-2.5,0,
2001,54,Kenny Satterfield,DAL,Cincinnati,20.21,73.0,176.0,76.5,98.0,75.0,1062.0,-1.1,-0.051,-4.1,-0.6,0,
2001,55,Maurice Jeffers,SAC,Saint Louis,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2001,56,Robertas Javtokas,SAS,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2001,57,Alvin Jones,PHI,Georgia Tech,22.8,83,265,,,23.0,126.0,0.1,0.034,-8.7,-0.2,0,ht/wt from BBR listed (not combine barefoot)
2001,58,Bryan Bracey,SAS,Oregon,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2002,1,Yao Ming,HOU,,21.79,90,310,,,486.0,15818.0,65.9,0.2,3.2,20.7,1,ht/wt from BBR listed (not combine barefoot)
2002,2,Jay Williams,CHI,Duke,20.79,72.25,197.0,75.5,97.0,75.0,1961.0,0.8,0.02,-2.0,0.0,0,
2002,3,Mike Dunleavy,GSW,Duke,21.78,80.0,230.0,81.0,106.0,986.0,27340.0,58.5,0.103,0.3,15.7,0,
2002,4,Drew Gooden,MEM,Kansas,20.75,80.75,227.0,84.5,106.5,790.0,20127.0,43.9,0.105,-1.2,4.3,0,
2002,5,Nikoloz Tskitishvili,DEN,,19.2,84,225,,,172.0,1946.0,-1.6,-0.039,-6.1,-2.0,0,ht/wt from BBR listed (not combine barefoot)
2002,6,Dajuan Wagner,CLE,Memphis,19.39,72.75,193.0,74.0,99.0,103.0,2202.0,0.0,0.0,-4.9,-1.6,0,
2002,7,Nenê,NYK,,19.78,81.25,253.0,88.5,109.0,965.0,25237.0,73.3,0.139,1.0,18.8,0,
2002,8,Chris Wilcox,LAC,Maryland,19.81,80.25,218.0,85.0,107.5,628.0,12474.0,26.9,0.103,-1.6,1.2,0,
2002,9,Amar'e Stoudemire,PHO,,19.61,80.5,233.0,85.75,108.5,846.0,26254.0,92.5,0.169,1.3,21.9,1,
2002,10,Caron Butler,MIA,UConn,22.29,77.25,222.0,83.5,103.5,881.0,28333.0,50.9,0.086,-0.2,12.6,1,
2002,11,Jared Jeffries,WAS,Indiana,20.58,82.0,230.0,84.5,109.0,629.0,13579.0,13.1,0.046,-2.4,-1.5,0,
2002,12,Melvin Ely,LAC,Fresno State,24.15,81.0,240.0,88.0,111.0,375.0,6005.0,4.0,0.032,-4.0,-3.1,0,
2002,13,Marcus Haislip,MIL,Tennessee,21.51,80.5,221.0,84.0,107.0,89.0,854.0,0.5,0.026,-4.7,-0.6,0,
2002,14,Fred Jones,IND,Oregon,23.29,74.25,218.0,84.0,100.0,430.0,10299.0,16.5,0.077,-1.0,2.6,0,
2002,15,Boštjan Nachbar,HOU,,21.98,81,221,,,317.0,5628.0,8.7,0.074,-1.6,0.6,0,ht/wt from BBR listed (not combine barefoot)
2002,16,Jiří Welsch,PHI,,22.41,79,208,,,247.0,4596.0,5.7,0.059,-1.9,0.1,0,ht/wt from BBR listed (not combine barefoot)
2002,17,Juan Dixon,WAS,Maryland,23.71,75,164,,,436.0,8509.0,6.1,0.034,-2.1,-0.3,0,ht/wt from BBR listed (not combine barefoot)
2002,18,Curtis Borchardt,ORL,Stanford,21.78,82.75,238.0,86.5,112.0,83.0,1117.0,1.0,0.041,-3.8,-0.5,0,
2002,19,Ryan Humphrey,UTA,Notre Dame,22.92,78.0,223.0,84.0,104.5,85.0,772.0,-0.4,-0.027,-8.1,-1.2,0,
2002,20,Kareem Rush,TOR,Missouri,21.65,76.75,199.0,81.75,103.5,346.0,5956.0,1.7,0.013,-3.2,-1.8,0,
2002,21,Qyntel Woods,POR,Northeast Mississippi Community College,21.36,79.0,213.0,82.0,105.0,167.0,2060.0,1.4,0.032,-2.7,-0.4,0,
2002,22,Casey Jacobsen,PHO,Stanford,21.27,78,215,,,287.0,5320.0,6.2,0.056,-2.2,-0.3,0,ht/wt from BBR listed (not combine barefoot)
2002,23,Tayshaun Prince,DET,Kentucky,22.32,81,212,,,1017.0,31576.0,63.1,0.096,0.3,18.0,0,ht/wt from BBR listed (not combine barefoot)
2002,24,Nenad Krstić,NJN,,18.92,84,240,,,419.0,10547.0,21.5,0.098,-2.6,-1.5,0,ht/wt from BBR listed (not combine barefoot)
2002,25,Frank Williams,DEN,Illinois,22.33,73.5,212.0,80.0,100.5,86.0,952.0,0.1,0.003,-3.2,-0.3,0,
2002,26,John Salmons,SAS,Miami (FL),22.54,77.5,207.0,82.25,104.0,895.0,23672.0,33.9,0.069,-0.9,6.7,0,
2002,27,Chris Jefferies,LAL,Fresno State,22.37,80,225,,,72.0,861.0,-0.5,-0.03,-5.5,-0.8,0,ht/wt from BBR listed (not combine barefoot)
2002,28,Dan Dickau,SAC,Gonzaga,23.78,72,190,,,300.0,4617.0,5.9,0.061,-1.5,0.6,0,ht/wt from BBR listed (not combine barefoot)
2002,30,Steve Logan,GSW,Cincinnati,,70.0,207.0,71.75,92.5,,,,,,,0,no NBA stats on BBR (never played)
2002,31,Roger Mason,CHI,Virginia,21.79,77,200,,,518.0,9147.0,13.0,0.068,-1.4,1.4,0,ht/wt from BBR listed (not combine barefoot)
2002,32,Robert Archibald,MEM,Illinois,22.24,82.0,250.0,83.75,109.5,44.0,328.0,0.0,-0.004,-6.1,-0.3,0,
2002,33,Vincent Yarbrough,DEN,Tennessee,21.26,77.5,202.0,84.5,104.5,59.0,1381.0,1.0,0.035,-2.4,-0.1,0,
2002,34,Dan Gadzuric,MIL,UCLA,24.39,83,240,,,527.0,7793.0,15.8,0.097,-2.3,-0.7,0,ht/wt from BBR listed (not combine barefoot)
2002,35,Carlos Boozer,CLE,Duke,20.6,79.75,258.0,86.25,108.5,861.0,26901.0,80.3,0.143,1.4,23.1,1,
2002,36,Milos Vujanic,NYK,,,,,,,,,,,,,0,no NBA stats on BBR (never played)
2002,37,David Andersen,ATL,,22.01,83,245,,,103.0,1264.0,1.5,0.059,-2.9,-0.3,0,ht/wt from BBR listed (not combine barefoot)
2002,38,Tito Maddox,HOU,Fresno State,21.05,75.0,200.0,77.0,99.0,9.0,35.0,0.0,-0.011,-1.4,0.0,0,
2002,39,Rod Grizzard,WAS,Alabama,,78.0,193.0,84.0,107.0,,,,,,,0,no NBA stats on BBR (never played)
2002,40,Juan Carlos Navarro,WAS,,22.03,75,170,,,82.0,2117.0,1.4,0.031,-2.3,-0.2,0,ht/wt from BBR listed (not combine barefoot)
