norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board
dailyn swain,Dailyn Swain,8,20.0,20.0,3.840572873934304,13,25,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,21.0,22.0,25.0,25.0,19.0,17.0,18.0,,13.0
ebuka okorie,Ebuka Okorie,8,22.5,23.5,2.8284271247461903,16,26,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,24.0,24.0,24.0,16.0,21.0,23.0,26.0,,22.0
allen graves,Allen Graves,8,22.625,23.0,3.5333235062756425,18,28,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,23.0,23.0,28.0,20.0,18.0,24.0,27.0,,18.0
christian anderson,Christian Anderson,6,22.833333333333332,21.5,3.435921354681384,19,28,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,22.0,20.0,,19.0,27.0,21.0,,,28.0
koa peat,Koa Peat,8,24.375,25.0,2.8256636388643286,18,27,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,25.0,25.0,18.0,27.0,25.0,27.0,22.0,,26.0
henri veesaar,Henri Veesaar,8,24.75,25.0,3.897114317029974,17,30,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,29.0,27.0,23.0,30.0,22.0,25.0,25.0,,17.0
isaiah evans,Isaiah Evans,6,27.166666666666668,26.0,2.852873794770615,24,33,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,26.0,26.0,,28.0,33.0,26.0,,,24.0
meleek thomas,Meleek Thomas,8,27.5,28.0,2.345207879911715,24,32,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,28.0,28.0,32.0,24.0,26.0,28.0,29.0,,25.0
tarris reed,Tarris Reed Jr.,8,28.125,30.0,3.9191038516477206,20,32,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,30.0,31.0,27.0,32.0,20.0,31.0,24.0,,30.0
joshua jefferson,Joshua Jefferson,7,29.142857142857142,30.0,4.15515416349971,20,33,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,27.0,32.0,30.0,33.0,32.0,30.0,,,20.0
luigi suigo,Luigi Suigo,6,30.333333333333332,31.5,4.268749491621899,24,35,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,34.0,35.0,,26.0,24.0,34.0,,,29.0
zuby ejiofor,Zuby Ejiofor,7,30.714285714285715,30.0,1.577908716741037,29,33,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,33.0,30.0,29.0,31.0,29.0,33.0,30.0,,
alex karaban,Alex Karaban,6,31.5,31.5,2.0615528128088303,29,34,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,32.0,29.0,31.0,34.0,34.0,29.0,,,
baba miller,Baba Miller,6,37.0,37.0,2.0816659994661326,34,40,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,40.0,34.0,37.0,35.0,39.0,37.0,,,
ryan conwell,Ryan Conwell,6,37.0,36.0,4.281744192888376,32,46,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,36.0,36.0,36.0,46.0,36.0,32.0,,,
sergio de larrea,Sergio de Larrea,5,37.2,33.0,8.726969691708572,29,53,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,31.0,33.0,,29.0,53.0,40.0,,,
trevon brazile,Trevon Brazile,6,37.666666666666664,38.0,1.699673171197595,35,40,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,39.0,40.0,38.0,36.0,35.0,38.0,,,
