norm_name,prospect,comp_rank,distance,comp_player,comp_draft_year,comp_pick,comp_outcome_mpg,comp_outcome_tier
kylan boswell,Kylan Boswell,1,2.232989414917262,Solomon Hill,2013,23.0,21.5,rotation
kylan boswell,Kylan Boswell,2,2.286340324540859,Tim Hardaway Jr.,2013,24.0,27.5,starter
kylan boswell,Kylan Boswell,3,2.2868002374348397,Wayne Ellington,2009,28.0,20.9,rotation
kylan boswell,Kylan Boswell,4,2.3084304386001406,Andrew Harrison,2015,44.0,20.6,rotation
kylan boswell,Kylan Boswell,5,2.331391163400101,Darius Miller,2012,46.0,19.8,rotation
tobi lawal,Tobi Lawal,1,1.817686238129422,Dewan Hernandez,2019,59.0,4.7,bust
tobi lawal,Tobi Lawal,2,2.306566413081853,Cady Lalanne,2015,55.0,0.0,bust
tobi lawal,Tobi Lawal,3,2.7159314174674103,Abdel Nader,2016,58.0,12.8,bench
tobi lawal,Tobi Lawal,4,2.731700866197486,Cory Jefferson,2014,60.0,10.0,bench
tobi lawal,Tobi Lawal,5,2.7460593153698634,Carrick Felix,2013,33.0,5.4,bust
rafael castro,Rafael Castro,1,2.1871271121703346,Tyler Bey,2020,36.0,3.9,bust
rafael castro,Rafael Castro,2,2.3998468577612253,Kenneth Faried,2011,22.0,24.5,starter
rafael castro,Rafael Castro,3,2.45963204521808,Damion James,2010,24.0,16.0,rotation
rafael castro,Rafael Castro,4,2.4995350825836526,Wesley Johnson,2010,4.0,22.1,rotation
rafael castro,Rafael Castro,5,2.613632547296248,Shane Battier,2001,6.0,30.7,star
keyshawn hall,Keyshawn Hall,1,1.2338937575997757,Georges Niang,2016,50.0,16.2,rotation
keyshawn hall,Keyshawn Hall,2,1.635972798315452,Semi Ojeleye,2017,37.0,14.5,bench
keyshawn hall,Keyshawn Hall,3,1.6569933497183493,Sam Young,2009,36.0,15.9,rotation
keyshawn hall,Keyshawn Hall,4,1.707749566920458,Quincy Pondexter,2010,26.0,15.6,rotation
keyshawn hall,Keyshawn Hall,5,1.7214265360602408,Jaron Blossomgame,2017,59.0,16.3,rotation
dillon mitchell,Dillon Mitchell,1,2.263463465163136,Chandler Parsons,2011,38.0,30.1,starter
dillon mitchell,Dillon Mitchell,2,2.3442992413150723,Terance Mann,2019,48.0,21.9,rotation
dillon mitchell,Dillon Mitchell,3,2.534695327583366,DeAndre Liggins,2011,53.0,10.8,bench
dillon mitchell,Dillon Mitchell,4,2.6040210478375854,Cody Martin,2019,36.0,21.4,rotation
dillon mitchell,Dillon Mitchell,5,2.6123633044056835,JP Tokoto,2015,58.0,0.0,bust
quadir copeland,Quadir Copeland,1,1.903031233192528,Blake Stepp,2004,58.0,0.0,bust
quadir copeland,Quadir Copeland,2,1.9533679026730657,Javaris Crittenton,2007,19.0,16.4,rotation
quadir copeland,Quadir Copeland,3,2.2690798474007083,Jarrett Jack,2005,22.0,27.8,starter
quadir copeland,Quadir Copeland,4,2.2971087790356073,Greivis Vasquez,2010,28.0,23.7,rotation
quadir copeland,Quadir Copeland,5,2.338652470043555,Jay Williams,2002,2.0,26.1,starter
nick boyd,Nick Boyd,1,1.8510614711813287,Jack McClinton,2009,51.0,0.0,bust
nick boyd,Nick Boyd,2,2.6434544366182395,Nolan Smith,2011,21.0,9.9,bench
nick boyd,Nick Boyd,3,2.8388244766029187,Frank Mason,2017,34.0,15.7,rotation
nick boyd,Nick Boyd,4,2.9228350587022867,Joseph Young,2015,43.0,8.5,bench
nick boyd,Nick Boyd,5,2.9356394798760235,Xavier Thames,2014,59.0,0.0,bust
peter suder,Peter Suder,1,2.5768153011550567,Abdel Nader,2016,58.0,12.8,bench
peter suder,Peter Suder,2,2.762295547226641,Carrick Felix,2013,33.0,5.4,bust
peter suder,Peter Suder,3,2.8259474519247263,Skylar Mays,2020,50.0,11.7,bench
peter suder,Peter Suder,4,2.957976859931507,Melvin Frazier,2018,35.0,9.1,bench
peter suder,Peter Suder,5,2.983890808188271,Kim English,2012,44.0,9.9,bench
nate bittle,Nate Bittle,1,2.2002565280587607,Mfiondu Kabengele,2019,27.0,6.9,bust
nate bittle,Nate Bittle,2,2.263813753945767,Cameron Bairstow,2014,49.0,4.6,bust
nate bittle,Nate Bittle,3,2.2758281714126816,JaJuan Johnson,2011,27.0,8.3,bench
nate bittle,Nate Bittle,4,2.2938535750329057,Mason Plumlee,2013,22.0,22.6,rotation
nate bittle,Nate Bittle,5,2.402488749605781,Sandro Mamukelashvili,2021,54.0,11.4,bench
aaron nkrumah,Aaron Nkrumah,1,3.5315817843344783,DeMarre Carroll,2009,27.0,23.7,rotation
aaron nkrumah,Aaron Nkrumah,2,3.6005149272698547,RJ Hunter,2015,28.0,8.8,bench
aaron nkrumah,Aaron Nkrumah,3,3.6220113753297736,James Ennis,2013,50.0,20.3,rotation
aaron nkrumah,Aaron Nkrumah,4,3.6889046518426096,Michael Gbinije,2016,49.0,3.5,bust
aaron nkrumah,Aaron Nkrumah,5,3.792701852212777,Tim Pickett,2004,44.0,0.0,bust
trey kaufman renn,Trey Kaufman-Renn,1,1.9232146990092192,Vince Edwards,2018,52.0,7.9,bust
trey kaufman renn,Trey Kaufman-Renn,2,2.141298647122016,Dwayne Collins,2010,60.0,0.0,bust
trey kaufman renn,Trey Kaufman-Renn,3,2.2420848722184465,Mason Plumlee,2013,22.0,22.6,rotation
trey kaufman renn,Trey Kaufman-Renn,4,2.2649852734913303,Semi Ojeleye,2017,37.0,14.5,bench
trey kaufman renn,Trey Kaufman-Renn,5,2.463240188662811,Colton Iverson,2013,53.0,0.0,bust
bryce hopkins,Bryce Hopkins,1,1.5928135620823896,Kris Joseph,2012,51.0,5.4,bust
bryce hopkins,Bryce Hopkins,2,1.674154890980617,Jeffery Taylor,2012,31.0,19.4,rotation
bryce hopkins,Bryce Hopkins,3,1.7904694970812969,Kyle Singler,2011,33.0,21.9,rotation
bryce hopkins,Bryce Hopkins,4,1.8541280933298503,DaSean Butler,2010,42.0,0.0,bust
bryce hopkins,Bryce Hopkins,5,1.8878342214443633,Anthony Brown,2015,34.0,18.6,rotation
malik reneau,Malik Reneau,1,1.4230440902112715,Georges Niang,2016,50.0,16.2,rotation
malik reneau,Malik Reneau,2,1.6040835988706212,Tyler Hansbrough,2009,13.0,16.9,rotation
malik reneau,Malik Reneau,3,1.7667399198716158,Alec Peters,2017,54.0,11.2,bench
malik reneau,Malik Reneau,4,1.927852270871268,Cameron Bairstow,2014,49.0,4.6,bust
malik reneau,Malik Reneau,5,1.9778597831159834,Mike Scott,2012,43.0,16.5,rotation
tucker devries,Tucker DeVries,1,1.2789198905608754,Kris Joseph,2012,51.0,5.4,bust
tucker devries,Tucker DeVries,2,1.6687344383097997,Anthony Brown,2015,34.0,18.6,rotation
tucker devries,Tucker DeVries,3,1.7445958754233892,DaSean Butler,2010,42.0,0.0,bust
tucker devries,Tucker DeVries,4,1.7850477729339116,Kyle Singler,2011,33.0,21.9,rotation
tucker devries,Tucker DeVries,5,1.7924421633211114,Solomon Hill,2013,23.0,21.5,rotation
darrion williams,Darrion Williams,1,1.4956229848516993,Kyle Singler,2011,33.0,21.9,rotation
darrion williams,Darrion Williams,2,1.6779748707731297,Admiral Schofield,2019,42.0,11.1,bench
darrion williams,Darrion Williams,3,1.7211399491220745,Elijah Hughes,2020,39.0,9.2,bench
darrion williams,Darrion Williams,4,1.7378062983430798,Dwight Powell,2014,45.0,18.9,rotation
darrion williams,Darrion Williams,5,1.8231253646829977,Kris Joseph,2012,51.0,5.4,bust
mark mitchell,Mark Mitchell,1,1.769226434640361,Taurean Prince,2016,12.0,24.5,starter
mark mitchell,Mark Mitchell,2,2.0939272880487425,Jeffery Taylor,2012,31.0,19.4,rotation
mark mitchell,Mark Mitchell,3,2.179368716099949,Dwight Powell,2014,45.0,18.9,rotation
mark mitchell,Mark Mitchell,4,2.183368451905285,Dante Cunningham,2009,33.0,20.8,rotation
mark mitchell,Mark Mitchell,5,2.229440431316664,Joe Johnson,2001,10.0,34.7,star
jakobi gillespie,Ja’kobi Gillespie,1,2.026362413178315,Ray McCallum,2013,36.0,18.2,rotation
jakobi gillespie,Ja’kobi Gillespie,2,2.1396789025952603,Tyler Dorsey,2017,41.0,15.7,rotation
jakobi gillespie,Ja’kobi Gillespie,3,2.269182326157937,Marcus Denmon,2012,59.0,0.0,bust
jakobi gillespie,Ja’kobi Gillespie,4,2.4038208486605313,Demetrius Jackson,2016,45.0,5.2,bust
jakobi gillespie,Ja’kobi Gillespie,5,2.4281601196915945,Nick Johnson,2014,42.0,9.4,bench
wyatt fricks,Wyatt Fricks,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
wyatt fricks,Wyatt Fricks,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
wyatt fricks,Wyatt Fricks,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
wyatt fricks,Wyatt Fricks,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
wyatt fricks,Wyatt Fricks,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
emanuel sharpe,Emanuel Sharpe,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
emanuel sharpe,Emanuel Sharpe,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
emanuel sharpe,Emanuel Sharpe,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
emanuel sharpe,Emanuel Sharpe,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
emanuel sharpe,Emanuel Sharpe,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
lamar wilkerson,Lamar Wilkerson,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
lamar wilkerson,Lamar Wilkerson,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
lamar wilkerson,Lamar Wilkerson,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
lamar wilkerson,Lamar Wilkerson,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
lamar wilkerson,Lamar Wilkerson,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
jaron pierre,Jaron Pierre Jr.,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
jaron pierre,Jaron Pierre Jr.,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
jaron pierre,Jaron Pierre Jr.,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
jaron pierre,Jaron Pierre Jr.,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
jaron pierre,Jaron Pierre Jr.,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
duke miles,Duke Miles,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
duke miles,Duke Miles,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
duke miles,Duke Miles,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
duke miles,Duke Miles,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
duke miles,Duke Miles,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
malique lewis,Malique Lewis,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
malique lewis,Malique Lewis,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
malique lewis,Malique Lewis,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
malique lewis,Malique Lewis,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
malique lewis,Malique Lewis,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
tobe awaka,Tobe Awaka,1,1.6200771999733214,DaJuan Summers,2009,35.0,9.9,bench
tobe awaka,Tobe Awaka,2,1.860824990224854,Montrezl Harrell,2015,32.0,20.5,rotation
tobe awaka,Tobe Awaka,3,1.9801366283107176,James Johnson,2009,16.0,20.1,rotation
tobe awaka,Tobe Awaka,4,2.039000927216946,Raiquan Gray,2021,59.0,35.1,star
tobe awaka,Tobe Awaka,5,2.046571545848569,Jarnell Stokes,2014,35.0,5.4,bust
cade tyson,Cade Tyson,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
cade tyson,Cade Tyson,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
cade tyson,Cade Tyson,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
cade tyson,Cade Tyson,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
cade tyson,Cade Tyson,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
jaden henley,Jaden Henley,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
jaden henley,Jaden Henley,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
jaden henley,Jaden Henley,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
jaden henley,Jaden Henley,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
jaden henley,Jaden Henley,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
michael ajayi,Michael Ajayi,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
michael ajayi,Michael Ajayi,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
michael ajayi,Michael Ajayi,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
michael ajayi,Michael Ajayi,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
michael ajayi,Michael Ajayi,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
seth trimble,Seth Trimble,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
seth trimble,Seth Trimble,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
seth trimble,Seth Trimble,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
seth trimble,Seth Trimble,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
seth trimble,Seth Trimble,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
melvin council,Melvin Council Jr.,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
melvin council,Melvin Council Jr.,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
melvin council,Melvin Council Jr.,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
melvin council,Melvin Council Jr.,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
melvin council,Melvin Council Jr.,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
noam yaacov,Noam Yaacov,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
noam yaacov,Noam Yaacov,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
noam yaacov,Noam Yaacov,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
noam yaacov,Noam Yaacov,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
noam yaacov,Noam Yaacov,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
fletcher loyer,Fletcher Loyer,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
fletcher loyer,Fletcher Loyer,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
fletcher loyer,Fletcher Loyer,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
fletcher loyer,Fletcher Loyer,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
fletcher loyer,Fletcher Loyer,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
graham ike,Graham Ike,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
graham ike,Graham Ike,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
graham ike,Graham Ike,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
graham ike,Graham Ike,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
graham ike,Graham Ike,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
jaxon kohler,Jaxon Kohler,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
jaxon kohler,Jaxon Kohler,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
jaxon kohler,Jaxon Kohler,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
jaxon kohler,Jaxon Kohler,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
jaxon kohler,Jaxon Kohler,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
chris bell,Chris Bell,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
chris bell,Chris Bell,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
chris bell,Chris Bell,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
chris bell,Chris Bell,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
chris bell,Chris Bell,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
elijah mahi,Elijah Mahi,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
elijah mahi,Elijah Mahi,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
elijah mahi,Elijah Mahi,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
elijah mahi,Elijah Mahi,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
elijah mahi,Elijah Mahi,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
ernest udeh,Ernest Udeh Jr.,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
ernest udeh,Ernest Udeh Jr.,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
ernest udeh,Ernest Udeh Jr.,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
ernest udeh,Ernest Udeh Jr.,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
ernest udeh,Ernest Udeh Jr.,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
oscar cluff,Oscar Cluff,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
oscar cluff,Oscar Cluff,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
oscar cluff,Oscar Cluff,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
oscar cluff,Oscar Cluff,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
oscar cluff,Oscar Cluff,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
vsevolod ishchenko,Vsevolod Ishchenko,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
vsevolod ishchenko,Vsevolod Ishchenko,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
vsevolod ishchenko,Vsevolod Ishchenko,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
vsevolod ishchenko,Vsevolod Ishchenko,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
vsevolod ishchenko,Vsevolod Ishchenko,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
xaivian lee,Xaivian Lee,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
xaivian lee,Xaivian Lee,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
xaivian lee,Xaivian Lee,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
xaivian lee,Xaivian Lee,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
xaivian lee,Xaivian Lee,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
josh dix,Josh Dix,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
josh dix,Josh Dix,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
josh dix,Josh Dix,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
josh dix,Josh Dix,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
josh dix,Josh Dix,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
tre donaldson,Tre Donaldson,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
tre donaldson,Tre Donaldson,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
tre donaldson,Tre Donaldson,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
tre donaldson,Tre Donaldson,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
tre donaldson,Tre Donaldson,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
donovan atwell,Donovan Atwell,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
donovan atwell,Donovan Atwell,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
donovan atwell,Donovan Atwell,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
donovan atwell,Donovan Atwell,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
donovan atwell,Donovan Atwell,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
william kyle,William Kyle III,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
william kyle,William Kyle III,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
william kyle,William Kyle III,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
william kyle,William Kyle III,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
william kyle,William Kyle III,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
ben humrichous,Ben Humrichous,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
ben humrichous,Ben Humrichous,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
ben humrichous,Ben Humrichous,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
ben humrichous,Ben Humrichous,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
ben humrichous,Ben Humrichous,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
jalen washington,Jalen Washington,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
jalen washington,Jalen Washington,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
jalen washington,Jalen Washington,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
jalen washington,Jalen Washington,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
jalen washington,Jalen Washington,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
lajae jones,Lajae Jones,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
lajae jones,Lajae Jones,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
lajae jones,Lajae Jones,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
lajae jones,Lajae Jones,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
lajae jones,Lajae Jones,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
tre white,Tre White,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
tre white,Tre White,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
tre white,Tre White,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
tre white,Tre White,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
tre white,Tre White,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
chase ross,Chase Ross,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
chase ross,Chase Ross,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
chase ross,Chase Ross,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
chase ross,Chase Ross,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
chase ross,Chase Ross,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
kowacie reeves,Kowacie Reeves Jr.,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
kowacie reeves,Kowacie Reeves Jr.,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
kowacie reeves,Kowacie Reeves Jr.,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
kowacie reeves,Kowacie Reeves Jr.,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
kowacie reeves,Kowacie Reeves Jr.,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
isaac mckneely,Isaac McKneely,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
isaac mckneely,Isaac McKneely,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
isaac mckneely,Isaac McKneely,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
isaac mckneely,Isaac McKneely,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
isaac mckneely,Isaac McKneely,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
tre carroll,Tre Carroll,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
tre carroll,Tre Carroll,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
tre carroll,Tre Carroll,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
tre carroll,Tre Carroll,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
tre carroll,Tre Carroll,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
kashie natt,Kashie Natt,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
kashie natt,Kashie Natt,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
kashie natt,Kashie Natt,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
kashie natt,Kashie Natt,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
kashie natt,Kashie Natt,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
nimari burnett,Nimari Burnett,1,0.6050509704893701,Jason Richardson,2001,5.0,34.1,star
nimari burnett,Nimari Burnett,2,0.7185007305391949,Marcus Williams,2007,33.0,3.0,bust
nimari burnett,Nimari Burnett,3,0.7513335248226225,Desmond Mason,2000,17.0,30.5,starter
nimari burnett,Nimari Burnett,4,0.798053007069666,Dijon Thompson,2005,54.0,5.8,bust
nimari burnett,Nimari Burnett,5,0.8141951570106024,Luol Deng,2004,7.0,34.3,star
