source_dataset,draft_year,pick,player,norm_name,position,school,conference,age_at_draft,height_in,weight_lbs,games,mp,ts_pct,efg_pct,three_par,ftr,orb_pct,drb_pct,trb_pct,ast_pct,stl_pct,blk_pct,tov_pct,usg_pct,obpm,dbpm,bpm,ast_to_tov,pts_per40,reb_per40,ast_per40,stl_per40,blk_per40,tov_per40,ft_pct,three_pct,three_pa_per40,draft_score,nba_mpg,career_games,career_minutes,career_ws,career_ws48,career_bpm,career_vorp,combine_height_no_shoes_in,combine_height_with_shoes_in,wingspan_in,standing_reach_in,max_vert_in,standing_vert_in,combine_weight_lbs,lane_agility_s,sprint_s,fte_projected_spm,fte_superstar_prob,fte_starter_prob,fte_role_player_prob,fte_bust_prob,outcome_mpg,outcome_tier,outcome_value
woodfin8/Draft_Machine combined_data.csv,2000,14.0,Mateen Cleaves,mateen cleaves,,michigan state,,,74.0,,123.0,2755.0,0.502,0.459,,0.324,,,,,,,25.0,,,,,,22.373865698729585,3.716878402903811,11.8475499092559,2.831215970961887,0.2323049001814882,5.1252268602540845,0.738,0.313,2.0762250453720505,,11.2,167.0,1863.0,-0.8,-0.021,-6.3,-2.0,,,,,,,,,,,,,,,11.2,bench,11.2
woodfin8/Draft_Machine combined_data.csv,2000,15.0,Jason Collier,jason collier,,georgia tech,,,84.0,,97.0,2602.0,0.535,0.491,,0.428,,,,,,,17.9,,,,,,20.676402767102232,10.653343581860108,1.813989239046887,0.9223674096848578,1.6910069177555729,3.93543428132206,0.711,0.369,1.0607225211375866,,14.4,151.0,2178.0,1.9,0.042,-6.3,-2.3,,,,,,,,,,,,,,,14.4,bench,14.4
woodfin8/Draft_Machine combined_data.csv,2000,17.0,Desmond Mason,desmond mason,,oklahoma state,,,79.0,,129.0,3868.0,0.572,0.537,,0.367,,,,,,,13.0,,,,,,17.600827300930714,8.221302998965873,1.5201654601861427,1.6339193381592554,0.9513960703205792,2.295760082730093,0.731,0.372,1.344364012409514,,30.5,643.0,19641.0,23.1,0.0559999999999999,-2.4,-1.9,,,,,,,,,,,,,,,30.5,starter,30.5
woodfin8/Draft_Machine combined_data.csv,2000,18.0,Quentin Richardson,quentin richardson,,depaul,,,78.0,,64.0,2190.0,0.553,0.519,,0.338,,,,,,,11.8,,,,,,20.94977168949772,11.908675799086758,1.899543378995434,1.0776255707762556,0.3105022831050228,2.52054794520548,0.728,0.369,2.136986301369863,,26.5,783.0,20785.0,32.8,0.076,-0.3,8.9,,,,,,,,,,,,,,,26.5,starter,26.5
woodfin8/Draft_Machine combined_data.csv,2000,19.0,Jamaal Magloire,jamaal magloire,,kentucky,,,83.0,,145.0,2272.0,0.537,0.503,,0.554,,,,,,,20.0,,,,,,18.732394366197184,13.890845070422536,1.0915492957746478,1.1971830985915493,4.718309859154929,3.538732394366197,0.636,0.3291618569636134,0.0,,21.5,680.0,14621.0,27.7,0.091,-2.9,-3.3,,,,,,,,,,,,,,,21.5,rotation,21.5
woodfin8/Draft_Machine combined_data.csv,2000,20.0,Speedy Claxton,speedy claxton,,hofstra,,,71.0,,119.0,2975.0,0.545,0.49,,0.48,,,,,,,16.0,,,,,,27.09243697478992,7.610084033613446,8.873949579831933,3.872268907563025,0.4436974789915966,3.549579831932773,0.748,0.322,0.8739495798319328,,25.6,334.0,8548.0,14.2,0.08,-0.7,2.8,,,,,,,,,,,,,,,25.6,starter,25.6
woodfin8/Draft_Machine combined_data.csv,2000,21.0,Morris Peterson,morris peterson,,michigan state,,,79.0,,137.0,2573.0,0.582,0.547,,0.367,,,,,,,12.8,,,,,,24.68713563933152,10.027205596579869,2.0054411193159734,1.8499805674310144,0.6529343179168285,2.6428293820443063,0.746,0.377,2.269724057520404,,27.2,711.0,19366.0,35.7,0.089,0.0,9.7,,,,,,,,,,,,,,,27.2,starter,27.2
woodfin8/Draft_Machine combined_data.csv,2000,22.0,Donnell Harvey,donnell harvey,,florida,,,80.0,,37.0,746.0,0.533,0.507,,0.496,,,,,,,14.6,,,,,,20.053619302949063,13.83378016085791,1.9839142091152813,1.447721179624665,1.6621983914209115,3.2171581769437,0.61,0.0,0.0,,16.2,205.0,3318.0,4.7,0.069,-2.7,-0.6,,,,,,,,,,,,,,,16.2,rotation,16.2
woodfin8/Draft_Machine combined_data.csv,2000,26.0,Mamadou N'Diaye,mamadou n diaye,,auburn,,,84.0,,128.0,2038.0,0.543,0.506,,0.587,,,,,,,15.219621749408972,,,,,,17.17369970559372,15.662414131501473,1.491658488714426,1.727183513248283,4.730127576054956,3.4769868943965365,0.641,0.0,0.0,,12.4,69.0,858.0,1.8,0.1009999999999999,-5.3,-0.7,,,,,,,,,,,,,,,12.4,bench,12.4
woodfin8/Draft_Machine combined_data.csv,2000,28.0,Erick Barkley,erick barkley,,st. john's,,,73.0,,65.0,2261.0,0.508,0.464,,0.363,,,,,,,13.4,,,,,,16.789031402034496,3.5736399823087126,5.3427686864219375,2.9544449358690845,0.3184431667403803,2.5652366209641757,0.727,0.328,1.89296771340115,,9.9,27.0,266.0,0.2,0.027,-3.8,-0.1,,,,,,,,,,,,,,,9.9,bench,9.9
