rank,name,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name
27,Joshua Jefferson,PF/SF,Iowa State,"6'9""",81.0,246.0,Senior,22.6,16.4,7.4,4.8,0.8,1.6,19.1,8.6,5.6,1.0,1.9,0.56,27.6,7.0,6.1,13.0,Tankathon,joshua jefferson
28,Meleek Thomas,SG/PG,Arkansas,"6'4.25""",76.25,190.0,Freshman,19.9,15.6,3.8,2.5,0.2,1.5,18.5,4.5,2.9,0.2,1.8,0.559,23.6,4.8,2.3,7.0,Tankathon,meleek thomas
29,Henri Veesaar,C,North Carolina,"7'0.5""",84.5,227.0,Junior,22.2,17.0,8.7,2.1,1.2,0.6,19.5,10.0,2.4,1.4,0.7,0.664,23.3,7.0,3.8,10.7,Tankathon,henri veesaar
30,Tarris Reed Jr.,C,UConn,"6'11""",83.0,264.0,Senior,22.9,14.7,9.0,2.3,2.0,0.9,19.4,11.8,3.0,2.6,1.2,0.614,26.1,6.7,6.1,12.9,Tankathon,tarris reed
31,Sergio de Larrea,PG/SG,Valencia,"6'6""",78.0,198.0,International,20.5,7.1,2.2,2.8,0.2,0.5,17.7,5.3,7.0,0.6,1.1,0.596,22.2,,,,Tankathon,sergio de larrea
32,Alex Karaban,SF/PF,UConn,"6'8""",80.0,225.0,Senior,23.6,13.2,5.3,2.4,0.8,0.8,13.8,5.5,2.5,0.9,0.9,0.59,18.4,5.4,3.6,9.0,Tankathon,alex karaban
33,Zuby Ejiofor,PF,St. John's,"6'8.75""",80.75,245.0,Senior,22.2,16.3,7.3,3.5,2.1,1.2,19.6,8.8,4.3,2.6,1.4,0.609,24.8,8.5,6.0,14.5,Tankathon,zuby ejiofor
34,Luigi Suigo,C,KK Mega Basket,"7'4""",88.0,289.0,International,19.4,8.5,5.3,0.9,1.0,0.5,16.9,10.6,1.7,2.0,0.9,0.607,19.0,,,,Tankathon,luigi suigo
35,Richie Saunders,SG,BYU,"6'6.25""",78.25,205.0,Senior,24.8,18.0,5.8,2.1,0.3,1.7,20.7,6.6,2.4,0.3,2.0,0.632,24.5,7.8,2.9,10.7,Tankathon,richie saunders
36,Ryan Conwell,SG,Louisville,"6'3.25""",75.25,215.0,Senior,22.0,18.8,4.8,2.7,0.2,1.1,21.9,5.6,3.1,0.2,1.3,0.566,29.5,5.1,2.2,7.3,Tankathon,ryan conwell
