rank,name_tankathon,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct,name_combine,height_listed_combine,height_in_combine,weight_lbs_combine,sources_combine,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in,display_name
31.0,Sergio de Larrea,PG/SG,Valencia,"6'6""",78.0,198.0,International,20.5,7.1,2.2,2.8,0.2,0.5,17.7,5.3,7.0,0.6,1.1,0.596,22.2,,,,Tankathon,sergio de larrea,Sergio de Larrea,5,37.2,33.0,8.726969691708572,29,53,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,31.0,33.0,,29.0,53.0,40.0,,,,,,,,,Sergio de Larrea,"6'6""",78.0,198.0,Tankathon,,,,,,,Sergio de Larrea
32.0,Alex Karaban,SF/PF,UConn,"6'8""",80.0,225.0,Senior,23.6,13.2,5.3,2.4,0.8,0.8,13.8,5.5,2.5,0.9,0.9,0.59,18.4,5.4,3.6,9.0,Tankathon,alex karaban,Alex Karaban,6,31.5,31.5,2.0615528128088303,29,34,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,32.0,29.0,31.0,34.0,34.0,29.0,,,,34.4,13.2,5.3,2.4,46.4,Alex Karaban,"6'8""",80.0,225.0,Tankathon,,,,,,,Alex Karaban
33.0,Zuby Ejiofor,PF,St. John's,"6'8.75""",80.75,245.0,Senior,22.2,16.3,7.3,3.5,2.1,1.2,19.6,8.8,4.3,2.6,1.4,0.609,24.8,8.5,6.0,14.5,Tankathon,zuby ejiofor,Zuby Ejiofor,7,30.714285714285715,30.0,1.577908716741037,29,33,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,33.0,30.0,29.0,31.0,29.0,33.0,30.0,,,29.9,16.3,7.3,3.5,53.6,Zuby Ejiofor,"6'8.75""",80.75,245.0,NBA Draft Room mock;Tankathon,7-2,86.0,,,,,Zuby Ejiofor
34.0,Luigi Suigo,C,KK Mega Basket,"7'4""",88.0,289.0,International,19.4,8.5,5.3,0.9,1.0,0.5,16.9,10.6,1.7,2.0,0.9,0.607,19.0,,,,Tankathon,luigi suigo,Luigi Suigo,6,30.333333333333332,31.5,4.268749491621899,24,35,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,34.0,35.0,,26.0,24.0,34.0,,,29.0,,,,,,Luigi Suigo,"7'4""",88.0,289.0,NBA Draft Room mock;Tankathon,7-5 1/2 –,89.5,,,,,Luigi Suigo
35.0,Richie Saunders,SG,BYU,"6'6.25""",78.25,205.0,Senior,24.8,18.0,5.8,2.1,0.3,1.7,20.7,6.6,2.4,0.3,2.0,0.632,24.5,7.8,2.9,10.7,Tankathon,richie saunders,Richie Saunders,6,38.666666666666664,36.5,4.714045207910317,35,48,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,35.0,38.0,35.0,41.0,48.0,35.0,,,,31.4,18.0,5.8,2.1,48.9,Richie Saunders,"6'6.25""",78.25,205.0,Tankathon,,,,,,,Richie Saunders
36.0,Ryan Conwell,SG,Louisville,"6'3.25""",75.25,215.0,Senior,22.0,18.8,4.8,2.7,0.2,1.1,21.9,5.6,3.1,0.2,1.3,0.566,29.5,5.1,2.2,7.3,Tankathon,ryan conwell,Ryan Conwell,6,37.0,36.0,4.281744192888376,32,46,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,36.0,36.0,36.0,46.0,36.0,32.0,,,,31.0,18.8,4.8,2.7,40.8,Ryan Conwell,"6'3.25""",75.25,215.0,Tankathon,,,,,,,Ryan Conwell
37.0,Ugonna Onyenso,C,Virginia,"7'0.25""",84.25,237.0,Senior,21.7,6.5,4.9,0.6,2.9,0.6,12.6,9.5,1.1,5.7,1.2,0.616,15.5,4.7,7.6,12.2,Tankathon,ugonna onyenso,Ugonna Onyenso,6,43.5,40.0,8.88350531415762,36,62,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,37.0,41.0,46.0,39.0,62.0,36.0,,,,18.6,6.5,4.9,0.6,56.8,Ugonna Onyenso,"7'0.25""",84.25,237.0,Tankathon,,,,,,,Ugonna Onyenso
38.0,Jaden Bradley,PG,Arizona,"6'3.75""",75.75,205.0,Senior,22.8,13.3,3.4,4.4,0.1,1.4,15.6,4.0,5.1,0.1,1.7,0.568,20.9,3.7,5.3,9.0,Tankathon,jaden bradley,Jaden Bradley,6,39.166666666666664,40.0,4.13991411612474,31,44,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,38.0,39.0,41.0,44.0,31.0,42.0,,,,30.5,13.3,3.4,4.4,46.3,Jaden Bradley,"6'3.75""",75.75,205.0,Tankathon,,,,,,,Jaden Bradley
39.0,Trevon Brazile,PF,Arkansas,"6'10.75""",82.75,226.0,Senior,23.4,13.0,7.3,1.6,1.6,1.5,14.9,8.4,1.8,1.8,1.7,0.619,17.6,5.4,3.9,9.3,Tankathon,trevon brazile,Trevon Brazile,6,37.666666666666664,38.0,1.699673171197595,35,40,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,39.0,40.0,38.0,36.0,35.0,38.0,,,,31.5,13.1,7.3,1.5,52.6,Trevon Brazile,"6'10.75""",82.75,226.0,Tankathon,,,,,,,Trevon Brazile
40.0,Baba Miller,SF,Cincinnati,"6'11.75""",83.75,208.0,Senior,22.4,13.0,10.3,3.7,1.2,0.7,14.7,11.7,4.2,1.3,0.8,0.576,21.1,3.7,5.8,9.4,Tankathon,baba miller,Baba Miller,6,37.0,37.0,2.0816659994661326,34,40,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,40.0,34.0,37.0,35.0,39.0,37.0,,,,31.9,13.0,10.3,3.7,52.9,Baba Miller,"6'11.75""",83.75,208.0,Tankathon,,,,,,,Baba Miller
41.0,Jack Kayil,PG,Alba Berlin,"6'3""",75.0,174.0,International,20.4,12.3,2.9,3.7,0.2,1.0,20.7,4.9,6.2,0.3,1.7,0.534,28.9,,,,Tankathon,jack kayil,Jack Kayil,5,41.6,41.0,4.8,37,50,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,41.0,50.0,,37.0,37.0,43.0,,,,,,,,,Jack Kayil,"6'3""",75.0,174.0,Tankathon,,,,,,,Jack Kayil
42.0,Otega Oweh,SG,Kentucky,"6'5.5""",77.5,216.0,Senior,22.9,18.6,4.8,2.7,0.3,1.8,20.5,5.3,2.9,0.3,2.0,0.554,28.4,4.0,3.4,7.4,Tankathon,otega oweh,Otega Oweh,6,42.333333333333336,42.5,2.3570226039551585,39,46,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,42.0,46.0,40.0,43.0,44.0,39.0,,,,32.7,18.6,4.8,2.7,46.5,Otega Oweh,"6'5.5""",77.5,216.0,Tankathon,,,,,,,Otega Oweh
43.0,Nick Martinelli,SF,Northwestern,"6'7.75""",79.75,224.0,Senior,22.2,23.0,6.2,2.0,0.4,0.8,23.3,6.3,2.0,0.4,0.8,0.602,31.1,8.0,0.6,8.6,Tankathon,nick martinelli,Nick Martinelli,6,49.5,46.5,9.945685831890462,41,70,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,43.0,51.0,70.0,42.0,50.0,41.0,,,,35.5,23.0,6.2,2.0,51.0,Nick Martinelli,"6'7.75""",79.75,224.0,Tankathon,,,,,,,Nick Martinelli
44.0,Ja'Kobi Gillespie,PG,Tennessee,"6'1""",73.0,182.0,Senior,22.3,18.4,2.8,5.4,0.2,2.1,19.1,2.9,5.6,0.2,2.2,0.538,26.9,6.4,4.5,10.9,Tankathon,ja kobi gillespie,Ja'Kobi Gillespie,5,44.8,45.0,1.7204650534085253,42,47,Bleacher Report mock;CBS prospect rankings;Rookie Scale consensus;Tankathon;Tankathon mock,44.0,42.0,45.0,47.0,,46.0,,,,34.6,18.4,2.8,5.4,41.0,Ja'Kobi Gillespie,"6'1""",73.0,182.0,Tankathon,,,,,,,Ja'Kobi Gillespie
45.0,Emanuel Sharp,SG,Houston,"6'4""",76.0,208.0,Senior,22.3,15.5,3.0,1.7,0.1,1.2,18.9,3.6,2.1,0.1,1.5,0.582,25.0,5.9,4.8,10.7,Tankathon,emanuel sharp,Emanuel Sharp,5,44.2,45.0,1.16619037896906,42,45,Bleacher Report mock;CBS prospect rankings;Rookie Scale consensus;Tankathon;Tankathon mock,45.0,44.0,42.0,45.0,,45.0,,,,29.4,15.5,3.0,1.7,41.3,Emanuel Sharp,"6'4""",76.0,208.0,Tankathon,,,,,,,Emanuel Sharp
46.0,Izaiyah Nelson,PF/C,South Florida,"6'9.5""",81.5,219.0,Senior,22.7,15.9,9.6,1.2,1.4,1.6,20.9,12.6,1.6,1.9,2.2,0.612,23.7,5.9,3.3,9.2,Tankathon,izaiyah nelson,Izaiyah Nelson,6,49.666666666666664,50.0,5.647024782032472,40,57,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,46.0,49.0,57.0,40.0,55.0,51.0,,,,27.2,15.9,9.6,1.2,56.1,Izaiyah Nelson,"6'9.5""",81.5,219.0,Tankathon,,,,,,,Izaiyah Nelson
47.0,Bruce Thornton,PG,Ohio State,"6'1.25""",73.25,223.0,Senior,22.8,19.9,5.1,3.9,0.2,1.1,19.6,5.0,3.9,0.2,1.1,0.665,23.6,9.5,3.2,12.7,Tankathon,bruce thornton,Bruce Thornton,6,49.833333333333336,47.5,5.580223014261069,44,58,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,47.0,45.0,44.0,57.0,58.0,48.0,,,,36.5,19.9,5.1,3.9,55.4,Bruce Thornton,"6'1.25""",73.25,223.0,Tankathon,,,,,,,Bruce Thornton
48.0,Milos Uzan,PG,Houston,"6'4.25""",76.25,185.0,Senior,23.5,11.1,2.7,4.0,0.1,1.0,12.1,2.9,4.4,0.1,1.1,0.493,19.6,2.6,3.8,6.4,Tankathon,milos uzan,Milos Uzan,6,51.5,49.5,5.439056290693573,47,63,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,48.0,52.0,48.0,51.0,63.0,47.0,,,,33.0,11.1,2.7,4.0,38.0,Milos Uzan,"6'4.25""",76.25,185.0,Tankathon,,,,,,,Milos Uzan
49.0,Tyler Nickel,SG,Vanderbilt,"6'7.25""",79.25,217.0,Senior,22.8,13.5,3.3,1.2,0.5,0.8,15.9,3.8,1.4,0.6,0.9,0.617,18.9,6.0,1.4,7.5,Tankathon,tyler nickel,Tyler Nickel,5,51.4,49.0,4.841487374764082,48,61,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,49.0,48.0,50.0,,61.0,49.0,,,,30.5,13.5,3.3,1.2,44.5,Tyler Nickel,"6'7.25""",79.25,217.0,Tankathon,,,,,,,Tyler Nickel
50.0,Braden Smith,PG,Purdue,"5'11.5""",71.5,167.0,Senior,22.9,14.3,3.5,8.8,0.2,1.7,14.9,3.7,9.2,0.2,1.8,0.551,24.0,6.8,3.0,9.8,Tankathon,braden smith,Braden Smith,6,42.0,41.0,6.082762530298219,34,50,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,50.0,37.0,34.0,38.0,49.0,44.0,,,,34.5,14.3,3.5,8.8,44.0,Braden Smith,"5'11.5""",71.5,167.0,Tankathon,,,,,,,Braden Smith
51.0,Maliq Brown,PF,Duke,"6'9.25""",81.25,217.0,Senior,22.6,4.9,5.2,1.6,0.6,1.8,8.8,9.2,2.9,1.1,3.2,0.634,12.7,2.6,8.9,11.6,Tankathon,maliq brown,Maliq Brown,6,55.833333333333336,53.5,6.618576550554927,51,70,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,51.0,55.0,51.0,56.0,70.0,52.0,,,,20.3,4.9,5.2,1.6,62.9,Maliq Brown,"6'9.25""",81.25,217.0,Tankathon,,,,,,,Maliq Brown
52.0,Tyler Bilodeau,PF,UCLA,"6'8.5""",80.5,228.0,Senior,22.2,17.6,5.6,1.1,0.4,0.5,21.1,6.7,1.3,0.4,0.6,0.656,25.8,7.5,1.4,8.9,Tankathon,tyler bilodeau,Tyler Bilodeau,5,49.8,52.0,6.273754856543249,42,58,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,52.0,54.0,43.0,,42.0,58.0,,,,30.2,17.6,5.6,1.1,51.8,Tyler Bilodeau,"6'8.5""",80.5,228.0,Tankathon,,,,,,,Tyler Bilodeau
53.0,Felix Okpara,C,Tennessee,"6'11.25""",83.25,237.0,Senior,22.2,8.0,6.3,0.5,1.5,0.4,10.7,8.5,0.7,2.0,0.6,0.617,13.4,1.8,3.6,5.5,Tankathon,felix okpara,Felix Okpara,6,54.333333333333336,54.5,2.4267032964268394,50,57,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,53.0,57.0,54.0,55.0,57.0,50.0,,,,26.9,8.0,6.3,0.5,59.7,Felix Okpara,"6'11.25""",83.25,237.0,Tankathon,,,,,,,Felix Okpara
54.0,Tamin Lipsey,PG,Iowa State,"6'1""",73.0,200.0,Senior,22.9,13.5,3.9,5.1,0.0,2.3,15.4,4.5,5.8,0.0,2.6,0.54,22.1,5.5,5.8,11.3,Tankathon,tamin lipsey,Tamin Lipsey,4,57.5,57.5,4.031128874149275,53,62,CBS prospect rankings;Rookie Scale consensus;Tankathon;Tankathon mock,54.0,61.0,62.0,,,53.0,,,,31.4,13.5,3.9,5.1,45.9,Tamin Lipsey,"6'1""",73.0,200.0,Tankathon,,,,,,,Tamin Lipsey
55.0,Pavle Backo,C,KK Mega Basket,"6'11""",83.0,262.0,International,18.9,12.7,4.7,1.2,1.3,0.3,23.8,8.8,2.2,2.3,0.6,0.603,26.5,,,,Tankathon,pavle backo,Pavle Backo,4,56.75,57.5,18.48479104561369,30,82,NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,55.0,82.0,,,30.0,60.0,,,,,,,,,Pavle Backo,"6'11""",83.0,262.0,Tankathon,,,,,,,Pavle Backo
56.0,Kylan Boswell,PG,Illinois,"6'2.5""",74.5,226.0,Senior,21.2,12.3,4.0,3.0,0.0,0.7,14.7,4.8,3.6,0.0,0.9,0.559,20.4,3.9,3.1,7.0,Tankathon,kylan boswell,Kylan Boswell,6,56.0,54.5,6.879922480183431,47,69,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,56.0,53.0,47.0,52.0,69.0,59.0,,,,30.0,12.3,4.0,3.0,44.4,Kylan Boswell,"6'2.5""",74.5,226.0,Tankathon,,,,,,,Kylan Boswell
57.0,Tobi Lawal,PF,Virginia Tech,"6'8.5""",80.5,214.0,Senior,23.1,12.3,8.5,0.6,1.1,0.3,15.2,10.5,0.8,1.4,0.4,0.635,20.0,2.3,1.6,3.9,Tankathon,tobi lawal,Tobi Lawal,6,52.166666666666664,53.0,3.3374973990834644,47,57,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,57.0,47.0,52.0,49.0,54.0,54.0,,,,29.1,12.3,8.5,0.6,54.2,Tobi Lawal,"6'8.5""",80.5,214.0,Tankathon,,,,,,,Tobi Lawal
58.0,Rafael Castro,C,George Washington,"6'10.25""",82.25,224.0,Senior,23.2,15.3,9.1,1.7,1.7,1.8,20.1,12.0,2.2,2.3,2.3,0.645,24.2,6.1,3.4,9.5,Tankathon,rafael castro,Rafael Castro,5,58.6,58.0,2.3323807579381204,56,63,Bleacher Report mock;CBS prospect rankings;Rookie Scale consensus;Tankathon;Tankathon mock,58.0,63.0,58.0,58.0,,56.0,,,,27.2,15.3,9.1,1.7,62.7,Rafael Castro,"6'10.25""",82.25,224.0,Tankathon,,,,,,,Rafael Castro
59.0,Keyshawn Hall,SF,Auburn,"6'7.25""",79.25,227.0,Senior,23.2,19.3,7.1,2.6,0.6,0.7,20.6,7.6,2.8,0.7,0.8,0.606,26.7,6.5,1.0,7.5,Tankathon,keyshawn hall,Keyshawn Hall,6,53.666666666666664,55.5,7.2033942616581035,38,59,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,59.0,56.0,55.0,59.0,38.0,55.0,,,,33.6,19.3,7.0,2.6,45.1,Keyshawn Hall,"6'7.25""",79.25,227.0,Tankathon,,,,,,,Keyshawn Hall
60.0,Dillon Mitchell,SF,St. John's,"6'8""",80.0,202.0,Senior,22.7,8.3,7.0,3.0,0.7,1.3,10.7,9.0,3.8,0.9,1.6,0.555,14.5,3.9,5.3,9.3,Tankathon,dillon mitchell,Dillon Mitchell,6,50.0,49.5,6.831300510639732,41,60,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,60.0,43.0,49.0,50.0,41.0,57.0,,,,28.2,8.3,7.0,3.0,55.9,Dillon Mitchell,"6'8""",80.0,202.0,Tankathon,,,,,,,Dillon Mitchell
61.0,Quadir Copeland,PG/SG,NC State,"6'6""",78.0,220.0,Senior,22.8,13.9,3.6,6.5,0.1,1.8,17.4,4.5,8.1,0.2,2.2,0.592,25.6,4.5,3.2,7.8,Tankathon,quadir copeland,Quadir Copeland,4,57.75,61.0,8.757139944068497,43,66,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon,61.0,66.0,61.0,,43.0,,,,,28.7,13.9,3.6,6.5,49.4,Quadir Copeland,"6'6""",78.0,220.0,Tankathon,,,,,,,Quadir Copeland
62.0,Nick Boyd,PG/SG,Wisconsin,"6'2.25""",74.25,176.0,Senior,25.2,20.7,3.8,4.3,0.0,1.0,23.4,4.3,4.8,0.0,1.2,0.588,30.6,7.6,1.9,9.5,Tankathon,nick boyd,Nick Boyd,4,65.75,64.0,6.417748826496718,59,76,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon,62.0,76.0,59.0,,66.0,,,,,31.9,20.7,3.8,4.3,48.0,Nick Boyd,"6'2.25""",74.25,176.0,Tankathon,,,,,,,Nick Boyd
63.0,Peter Suder,SG,Miami (Ohio),"6'5""",77.0,213.0,Senior,22.9,14.8,4.6,4.0,0.4,1.3,17.1,5.4,4.7,0.5,1.5,0.633,21.8,2.5,1.0,3.5,Tankathon,peter suder,Peter Suder,3,71.0,66.0,9.273618495495704,63,84,CBS prospect rankings;Rookie Scale consensus;Tankathon,63.0,84.0,66.0,,,,,,,31.0,14.8,4.6,4.0,54.6,Peter Suder,"6'5""",77.0,213.0,Tankathon,,,,,,,Peter Suder
64.0,Nate Bittle,C,Oregon,"7'0""",84.0,250.0,Senior,23.0,16.8,6.9,2.6,1.8,0.9,19.4,8.0,3.0,2.1,1.0,0.563,28.2,6.1,2.9,9.0,Tankathon,nate bittle,Nate Bittle,3,60.0,60.0,3.265986323710904,56,64,CBS prospect rankings;Rookie Scale consensus;Tankathon,64.0,60.0,56.0,,,,,,,31.1,16.8,6.9,2.6,46.5,Nate Bittle,"7'0""",84.0,250.0,Tankathon,,,,,,,Nate Bittle
65.0,Aaron Nkrumah,SG,Tennessee State,"6'6.25""",78.25,189.0,Senior,24.6,17.7,5.5,3.0,0.5,2.8,20.3,6.3,3.5,0.6,3.2,0.552,27.6,2.9,1.9,4.8,Tankathon,aaron nkrumah,Aaron Nkrumah,5,56.6,53.0,9.76933979345585,46,71,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon,65.0,71.0,53.0,48.0,46.0,,,,,31.3,17.7,5.5,3.0,43.8,Aaron Nkrumah,"6'6.25""",78.25,189.0,Tankathon,,,,,,,Aaron Nkrumah
66.0,Trey Kaufman-Renn,PF,Purdue,"6'9""",81.0,241.0,Senior,23.8,14.2,8.3,2.5,0.2,0.4,18.1,10.7,3.3,0.3,0.5,0.59,24.9,6.2,2.3,8.4,Tankathon,trey kaufman renn,Trey Kaufman-Renn,5,61.8,62.0,8.818163074019441,47,74,Bleacher Report mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon,66.0,62.0,74.0,60.0,47.0,,,,,28.0,14.2,8.3,2.5,57.8,Trey Kaufman-Renn,"6'9""",81.0,241.0,Tankathon,,,,,,,Trey Kaufman-Renn
67.0,Bryce Hopkins,SF,St. John's,"6'7.25""",79.25,219.0,Senior,23.8,13.6,6.2,1.9,0.3,1.1,17.0,7.8,2.4,0.3,1.4,0.558,22.4,5.0,3.5,8.5,Tankathon,bryce hopkins,Bryce Hopkins,4,61.0,59.5,3.5355339059327378,58,67,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon,67.0,58.0,60.0,,59.0,,,,,28.8,13.6,6.2,1.9,46.9,Bryce Hopkins,"6'7.25""",79.25,219.0,Tankathon,,,,,,,Bryce Hopkins
68.0,Malik Reneau,PF,Miami,"6'9""",81.0,238.0,Senior,23.2,18.9,6.5,2.1,0.8,1.1,23.5,8.1,2.6,1.0,1.3,0.618,30.6,6.0,2.5,8.5,Tankathon,malik reneau,Malik Reneau,4,67.25,66.5,3.766629793329841,63,73,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon,68.0,73.0,63.0,,65.0,,,,,29.0,18.9,6.5,2.1,54.0,Malik Reneau,"6'9""",81.0,238.0,Tankathon,,,,,,,Malik Reneau
69.0,Tucker DeVries,SG/SF,Indiana,"6'7""",79.0,220.0,Senior,23.5,13.7,5.3,3.3,0.6,1.1,14.4,5.5,3.5,0.6,1.2,0.546,21.9,3.9,3.0,6.9,Tankathon,tucker devries,Tucker DeVries,3,66.0,65.0,2.160246899469287,64,69,CBS prospect rankings;Rookie Scale consensus;Tankathon,69.0,64.0,65.0,,,,,,,34.3,13.7,5.3,3.3,39.7,Tucker DeVries,"6'7""",79.0,220.0,Tankathon,,,,,,,Tucker DeVries
70.0,Darrion Williams,SF,NC State,"6'5.75""",77.75,236.0,Senior,23.2,14.0,4.6,2.8,0.3,1.1,16.7,5.5,3.3,0.4,1.3,0.533,24.6,4.0,1.2,5.2,Tankathon,darrion williams,Darrion Williams,3,67.33333333333333,70.0,6.018490028422596,59,73,CBS prospect rankings;Rookie Scale consensus;Tankathon,70.0,59.0,73.0,,,,,,,30.0,14.0,4.6,2.8,41.4,Darrion Williams,"6'5.75""",77.75,236.0,Tankathon,,,,,,,Darrion Williams
71.0,Mark Mitchell,SF/PF,Missouri,"6'9""",81.0,230.0,Senior,22.8,18.3,5.2,3.6,0.5,0.7,19.7,6.5,1.8,0.7,2.2,0.55,26.9,4.4,1.7,6.1,Tankathon,mark mitchell,Mark Mitchell,3,77.0,72.0,7.788880963698615,71,88,CBS prospect rankings;Rookie Scale consensus;Tankathon,71.0,72.0,88.0,,,,,,,33.8,18.3,5.2,3.6,54.7,Mark Mitchell,"6'9""",81.0,230.0,Tankathon,,,,,,,Mark Mitchell
,,,,,,,,,,,,,,,,,,,,,,,,,jakobi gillespie,Ja’kobi Gillespie,1,40.0,40.0,0.0,40,40,NBA Draft Room big board,,,,,40.0,,,,,,,,,,,,,,,,,,,,,Ja’kobi Gillespie
,,,,,,,,,,,,,,,,,,,,,,,,,wyatt fricks,Wyatt Fricks,1,53.0,53.0,0.0,53,53,Bleacher Report mock,,,,53.0,,,,,,,,,,,,,,,,,,,,,,Wyatt Fricks
,,,,,,,,,,,,,,,,,,,,,,,,,emanuel sharpe,Emanuel Sharpe,1,56.0,56.0,0.0,56,56,NBA Draft Room big board,,,,,56.0,,,,,,,,,,,,,,,,,,,,,Emanuel Sharpe
,,,,,,,,,,,,,,,,,,,,,,,,,lamar wilkerson,Lamar Wilkerson,3,64.0,69.0,9.273618495495704,51,72,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,69.0,72.0,,51.0,,,,,33.9,20.9,3.5,2.4,46.3,,,,,,,,,,,,Lamar Wilkerson
,,,,,,,,,,,,,,,,,,,,,,,,,jaron pierre,Jaron Pierre Jr.,2,67.0,67.0,3.0,64,70,CBS prospect rankings;Rookie Scale consensus,,70.0,64.0,,,,,,,33.0,17.6,4.9,2.1,46.2,,,,,,,,,,,,Jaron Pierre Jr.
,,,,,,,,,,,,,,,,,,,,,,,,,duke miles,Duke Miles,3,67.33333333333333,65.0,11.953614051360738,54,83,Bleacher Report mock;CBS prospect rankings;Rookie Scale consensus,,65.0,83.0,54.0,,,,,,29.5,16.1,3.0,4.5,43.5,,,,,,,,,,,,Duke Miles
,,,,,,,,,,,,,,,,,,,,,,,,,malique lewis,Malique Lewis,2,67.5,67.5,0.5,67,68,NBA Draft Room big board;Rookie Scale consensus,,68.0,,,67.0,,,,,,,,,,,,,,,,,,,,,Malique Lewis
,,,,,,,,,,,,,,,,,,,,,,,,,tobe awaka,Tobe Awaka,3,70.0,68.0,3.559026084010437,67,75,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,67.0,75.0,,68.0,,,,,20.8,9.3,9.1,0.8,58.7,,,,,,,,,,,,Tobe Awaka
,,,,,,,,,,,,,,,,,,,,,,,,,cade tyson,Cade Tyson,2,71.0,71.0,4.0,67,75,CBS prospect rankings;Rookie Scale consensus,,75.0,67.0,,,,,,,36.7,19.6,5.4,2.1,50.0,,,,,,,,,,,,Cade Tyson
,,,,,,,,,,,,,,,,,,,,,,,,,jaden henley,Jaden Henley,2,73.0,73.0,4.0,69,77,CBS prospect rankings;Rookie Scale consensus,,77.0,69.0,,,,,,,31.5,17.7,5.7,2.9,46.6,,,,,,,,,,,,Jaden Henley
,,,,,,,,,,,,,,,,,,,,,,,,,michael ajayi,Michael Ajayi,1,74.0,74.0,0.0,74,74,Rookie Scale consensus,,74.0,,,,,,,,,,,,,,,,,,,,,,,,Michael Ajayi
,,,,,,,,,,,,,,,,,,,,,,,,,seth trimble,Seth Trimble,3,74.33333333333333,80.0,10.208928554075703,60,83,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,83.0,80.0,,60.0,,,,,32.3,14.0,3.8,3.0,47.1,,,,,,,,,,,,Seth Trimble
,,,,,,,,,,,,,,,,,,,,,,,,,melvin council,Melvin Council Jr.,3,76.0,82.0,17.663521732655695,52,94,CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus,,94.0,82.0,,52.0,,,,,34.9,12.7,5.0,5.1,39.2,,,,,,,,,,,,Melvin Council Jr.
