rank,name_tankathon,position,team_school,height_listed,height_in,weight_lbs,class,age,pts_pg,reb_pg,ast_pg,blk_pg,stl_pg,pts_per36,reb_per36,ast_per36,blk_per36,stl_per36,ts_pct,usg,obpm,dbpm,bpm,source,norm_name,name,sources_count,consensus_mean,consensus_median,consensus_std,consensus_min,consensus_max,sources,rank_tankathon,rank_rookie_scale_consensus,rank_cbs_prospect_rankings,rank_bleacher_report_mock,rank_nba_draft_room_big_board,rank_tankathon_mock,rank_cbs_mock,rank_yahoo_koc_big_board,rank_the_ringer_big_board,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct,name_combine,height_listed_combine,height_in_combine,weight_lbs_combine,sources_combine,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in,display_name
11.0,Labaron Philon Jr.,PG,Alabama,"6'3.75""",75.75,176.0,Sophomore,20.6,22.0,3.5,5.0,0.2,1.2,25.6,4.1,5.8,0.2,1.3,0.626,30.0,9.2,2.1,11.3,Tankathon,labaron philon,Labaron Philon Jr.,8,12.5,13.0,1.6583123951777,9,14,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,11.0,14.0,14.0,14.0,12.0,13.0,13.0,,9.0,30.9,22.0,3.5,5.0,50.1,Labaron Philon Jr.,"6'3.75""",75.75,176.0,NBA Draft Room mock;Tankathon,6-6 1/4,78.25,,,,,Labaron Philon Jr.
12.0,Yaxel Lendeborg,PF,Michigan,"6'10""",82.0,241.0,Senior,23.7,15.1,6.8,3.2,1.2,1.1,18.0,8.1,3.9,1.5,1.3,0.646,20.4,9.8,6.9,16.7,Tankathon,yaxel lendeborg,Yaxel Lendeborg,7,11.571428571428571,12.0,1.498298354528788,8,13,Bleacher Report mock;CBS mock;CBS prospect rankings;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,12.0,12.0,12.0,13.0,,12.0,12.0,,8.0,30.2,15.1,6.8,3.2,51.5,Yaxel Lendeborg,"6'10""",82.0,241.0,NBA Draft Room mock;Tankathon,7-3 1/4,87.25,,,,,Yaxel Lendeborg
13.0,Karim López,SF,New Zealand,"6'9.5""",81.5,222.0,International,19.2,11.9,6.1,1.9,1.0,1.2,16.8,8.5,2.7,1.5,1.6,0.58,19.5,,,,Tankathon,karim lopez,Karim López,6,15.166666666666666,13.0,5.367080729368206,11,27,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,13.0,13.0,,11.0,13.0,14.0,,,27.0,,,,,,Karim López,"6'9.5""",81.5,222.0,NBA Draft Room mock;Tankathon,6-11 1/2,83.5,,,,,Karim López
14.0,Cameron Carr,SG,Baylor,"6'5.75""",77.75,184.0,Sophomore,21.6,18.9,5.8,2.6,1.3,0.9,20.2,6.2,2.8,1.4,0.9,0.622,25.3,6.9,2.3,9.2,Tankathon,cameron carr,Cameron Carr,6,15.5,15.0,1.2583057392117916,14,18,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,14.0,18.0,,15.0,16.0,15.0,,,15.0,,,,,,Cameron Carr,"6'5.75""",77.75,184.0,NBA Draft Room mock;Tankathon,7-0 3/4,84.75,,,,,Cameron Carr
15.0,Hannes Steinbach,PF,Washington,"6'11.5""",83.5,248.0,Freshman,20.1,18.5,11.8,1.6,1.2,1.1,19.3,12.2,1.6,1.3,1.1,0.636,23.9,7.7,2.4,10.1,Tankathon,hannes steinbach,Hannes Steinbach,8,16.125,16.0,2.9764702249476644,10,21,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,15.0,15.0,16.0,18.0,10.0,18.0,16.0,,21.0,34.6,18.5,11.8,1.6,57.7,Hannes Steinbach,"6'11.5""",83.5,248.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-2 1/4,86.25,6’10.25″,82.25,9’0″,108.0,Hannes Steinbach
16.0,Chris Cenac Jr.,PF/C,Houston,"6'11.5""",83.5,240.0,Freshman,19.4,9.5,7.9,0.7,0.5,0.8,13.8,11.4,1.1,0.7,1.1,0.546,19.9,3.7,3.8,7.5,Tankathon,chris cenac,Chris Cenac Jr.,7,19.857142857142858,21.0,2.8996833043120627,15,23,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock,16.0,21.0,22.0,22.0,15.0,20.0,23.0,,,24.8,9.5,7.9,0.7,48.5,Chris Cenac Jr.,"6'11.5""",83.5,240.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-5,89.0,6’10.25″,82.25,9’0.5″,108.5,Chris Cenac Jr.
17.0,Morez Johnson Jr.,PF,Michigan,"6'10.25""",82.25,251.0,Sophomore,20.4,13.1,7.3,1.2,1.1,0.7,18.8,10.5,1.7,1.6,1.0,0.677,21.3,6.4,5.4,11.8,Tankathon,morez johnson,Morez Johnson Jr.,6,18.166666666666668,17.0,3.2360813064912666,14,23,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,17.0,16.0,,17.0,14.0,22.0,,,23.0,,,,,,Morez Johnson Jr.,"6'10.25""",82.25,251.0,NBA Draft Room mock;Tankathon,7-3 1/2,87.5,,,,,Morez Johnson Jr.
18.0,Aday Mara,C,Michigan,"7'4.25""",88.25,260.0,Junior,21.2,12.1,6.8,2.4,2.6,0.4,18.6,10.4,3.7,4.0,0.5,0.659,23.1,5.8,8.4,14.3,Tankathon,aday mara,Aday Mara,9,11.666666666666666,11.0,2.748737083745107,8,18,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board;Yahoo/KOC big board,18.0,11.0,11.0,12.0,11.0,8.0,11.0,9.0,14.0,23.5,12.1,6.8,2.4,66.8,Aday Mara,"7'4.25""",88.25,260.0,NBA Draft Room mock;On3 combine measurements;Tankathon;Yahoo/KOC big board,7-6,90.0,7’3″,87.0,9’9″,117.0,Aday Mara
19.0,Jayden Quaintance,PF/C,Kentucky,"6'10.25""",82.25,253.0,Sophomore,18.9,5.0,5.0,0.5,0.8,0.5,10.7,10.7,1.1,1.6,1.1,0.496,19.2,0.0,1.8,1.9,Tankathon,jayden quaintance,Jayden Quaintance,6,19.166666666666668,18.0,5.145116346811044,12,28,Bleacher Report mock;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,19.0,17.0,,23.0,28.0,16.0,,,12.0,,,,,,Jayden Quaintance,"6'10.25""",82.25,253.0,NBA Draft Room mock;On3 combine measurements;Tankathon,7-5 1/4,89.25,6’9″,81.0,9’1″,109.0,Jayden Quaintance
20.0,Bennett Stirtz,PG,Iowa,"6'3.75""",75.75,186.0,Senior,22.7,19.8,2.6,4.4,0.2,1.4,18.9,2.5,4.2,0.2,1.3,0.607,26.9,7.7,2.5,10.2,Tankathon,bennett stirtz,Bennett Stirtz,8,19.75,19.5,1.920286436967152,16,23,Bleacher Report mock;CBS mock;CBS prospect rankings;NBA Draft Room big board;Rookie Scale consensus;Tankathon;Tankathon mock;The Ringer big board,20.0,19.0,19.0,21.0,23.0,19.0,21.0,,16.0,37.8,19.8,2.6,4.4,47.7,Bennett Stirtz,"6'3.75""",75.75,186.0,NBA Draft Room mock;On3 combine measurements;Tankathon,6-6 –,78.0,6’2.5″,74.5,8’2.5″,98.5,Bennett Stirtz
