source,rank,name,team_school,class,position,height_listed,height_in,weight_lbs,norm_name,cbs_mpg,cbs_ppg,cbs_rpg,cbs_apg,cbs_fg_pct
CBS prospect rankings,52,Tobi Lawal,Va. Tech,Sr,PF,6-7,79.0,215.0,tobi lawal,29.1,12.3,8.5,0.6,54.2
CBS prospect rankings,53,Aaron Nkrumah,Tenn. State,Sr,SG,6-5,77.0,189.0,aaron nkrumah,31.3,17.7,5.5,3.0,43.8
CBS prospect rankings,54,Felix Okpara,Tennessee,Sr,C,6-10,82.0,237.0,felix okpara,26.9,8.0,6.3,0.5,59.7
CBS prospect rankings,55,Keyshawn Hall,Auburn,Sr,SF,6-6,78.0,227.0,keyshawn hall,33.6,19.3,7.0,2.6,45.1
CBS prospect rankings,56,Nate Bittle,Oregon,Sr,C,7-0,84.0,250.0,nate bittle,31.1,16.8,6.9,2.6,46.5
CBS prospect rankings,57,Izaiyah Nelson,South Florida,Sr,C,6-8,80.0,218.0,izaiyah nelson,27.2,15.9,9.6,1.2,56.1
CBS prospect rankings,58,Rafael Castro,George Wash.,Sr,C,6-9,81.0,224.0,rafael castro,27.2,15.3,9.1,1.7,62.7
CBS prospect rankings,59,Nick Boyd,Wisconsin,Sr,PG,6-1,73.0,177.0,nick boyd,31.9,20.7,3.8,4.3,48.0
CBS prospect rankings,60,Bryce Hopkins,St. John's,Sr,SF,6-6,78.0,219.0,bryce hopkins,28.8,13.6,6.2,1.9,46.9
CBS prospect rankings,61,Quadir Copeland,NC State,Sr,PG,6-6,78.0,220.0,quadir copeland,28.7,13.9,3.6,6.5,49.4
CBS prospect rankings,62,Tamin Lipsey,Iowa St.,Sr,PG,6-1,73.0,200.0,tamin lipsey,31.4,13.5,3.9,5.1,45.9
CBS prospect rankings,63,Malik Reneau,Miami,Sr,PF,6-9,81.0,238.0,malik reneau,29.0,18.9,6.5,2.1,54.0
CBS prospect rankings,64,Jaron Pierre Jr.,SMU,Sr,SG,6-5,77.0,210.0,jaron pierre,33.0,17.6,4.9,2.1,46.2
CBS prospect rankings,65,Tucker DeVries,Indiana,Sr,SF,6-7,79.0,225.0,tucker devries,34.3,13.7,5.3,3.3,39.7
CBS prospect rankings,66,Peter Suder,Miami (Ohio),Sr,SG,6-4,76.0,213.0,peter suder,31.0,14.8,4.6,4.0,54.6
CBS prospect rankings,67,Cade Tyson,Minnesota,Sr,SF,6-7,79.0,195.0,cade tyson,36.7,19.6,5.4,2.1,50.0
CBS prospect rankings,69,Jaden Henley,Grand Canyon,Sr,SF,6-7,79.0,210.0,jaden henley,31.5,17.7,5.7,2.9,46.6
CBS prospect rankings,70,Nick Martinelli,Northwestern,Sr,PF,6-7,79.0,225.0,nick martinelli,35.5,23.0,6.2,2.0,51.0
CBS prospect rankings,72,Lamar Wilkerson,Indiana,Sr,SG,6-6,78.0,205.0,lamar wilkerson,33.9,20.9,3.5,2.4,46.3
CBS prospect rankings,73,Darrion Williams,NC State,Jr,SF,6-5,77.0,236.0,darrion williams,30.0,14.0,4.6,2.8,41.4
CBS prospect rankings,74,Trey Kaufman-Renn,Purdue,Sr,C,6-8,80.0,241.0,trey kaufman renn,28.0,14.2,8.3,2.5,57.8
CBS prospect rankings,75,Tobe Awaka,Arizona,Sr,PF,6-8,80.0,261.0,tobe awaka,20.8,9.3,9.1,0.8,58.7
CBS prospect rankings,76,Ernest Udeh Jr.,Miami,Sr,C,6-11,83.0,266.0,ernest udeh,28.2,6.7,9.2,0.5,72.7
CBS prospect rankings,77,Graham Ike,Gonzaga,Sr,C,6-9,81.0,250.0,graham ike,31.1,19.9,8.0,2.4,56.3
CBS prospect rankings,79,Elijah Mahi,Santa Clara,Sr,PF,6-7,79.0,220.0,elijah mahi,30.4,14.1,4.7,2.6,44.7
CBS prospect rankings,80,Seth Trimble,N. Carolina,Sr,PG,6-3,75.0,200.0,seth trimble,32.3,14.0,3.8,3.0,47.1
CBS prospect rankings,81,Chris Bell,California,Sr,SF,6-7,79.0,195.0,chris bell,27.9,14.2,2.6,0.6,45.9
CBS prospect rankings,82,Melvin Council Jr.,Kansas,Sr,PG,6-4,76.0,180.0,melvin council,34.9,12.7,5.0,5.1,39.2
CBS prospect rankings,83,Duke Miles,Vanderbilt,Sr,PG,6-2,74.0,180.0,duke miles,29.5,16.1,3.0,4.5,43.5
CBS prospect rankings,84,Lajae Jones,Florida St.,Sr,SF,6-7,79.0,220.0,lajae jones,29.5,12.7,5.7,1.1,42.7
CBS prospect rankings,86,Jaxon Kohler,Michigan St.,Sr,PF,6-10,82.0,245.0,jaxon kohler,27.7,12.5,8.9,1.3,50.0
CBS prospect rankings,87,Josh Dix,Creighton,Sr,SG,6-6,78.0,205.0,josh dix,32.8,13.2,3.7,2.3,43.9
CBS prospect rankings,88,Mark Mitchell,Missouri,Sr,PF,6-9,81.0,230.0,mark mitchell,33.8,18.3,5.2,3.6,54.7
CBS prospect rankings,89,Tre Donaldson,Miami,Sr,PG,6-3,75.0,198.0,tre donaldson,34.1,16.4,3.6,5.7,45.4
CBS prospect rankings,90,Donovan Atwell,Texas Tech,Sr,SG,6-5,77.0,200.0,donovan atwell,34.7,13.5,3.2,0.8,46.3
CBS prospect rankings,91,Ben Humrichous,Illinois,Sr,PF,6-9,81.0,235.0,ben humrichous,22.5,5.8,3.9,0.8,38.3
CBS prospect rankings,92,Oscar Cluff,Purdue,Sr,C,6-11,83.0,255.0,oscar cluff,24.7,10.6,7.5,1.8,68.3
CBS prospect rankings,93,Chase Ross,Marquette,Sr,SG,6-5,77.0,210.0,chase ross,32.9,14.3,4.2,3.4,42.1
CBS prospect rankings,95,William Kyle,Syracuse,Sr,C,6-9,81.0,230.0,william kyle,28.2,8.4,7.1,0.9,66.1
CBS prospect rankings,96,Tre White,Kansas,Sr,SF,6-7,79.0,215.0,tre white,31.3,13.5,6.7,1.8,45.0
CBS prospect rankings,97,Fletcher Loyer,Purdue,Sr,SG,6-5,77.0,180.0,fletcher loyer,29.3,14.1,2.3,2.1,45.0
CBS prospect rankings,98,Xaivian Lee,Florida,Sr,PG,6-4,76.0,180.0,xaivian lee,27.3,11.6,3.7,4.1,42.0
CBS prospect rankings,99,Nimari Burnett,Michigan,Sr,SG,6-5,77.0,195.0,nimari burnett,19.8,8.2,2.8,1.2,45.3
CBS prospect rankings,100,Isaac McKneely,Louisville,Sr,SG,6-4,76.0,195.0,isaac mckneely,29.0,10.9,3.0,1.4,41.6
