norm_name,name,height_listed,height_in,weight_lbs,sources,wingspan_listed,wingspan_in,height_wo_shoes,height_wo_shoes_in,standing_reach,standing_reach_in
milos uzan,Milos Uzan,"6'4.25""",76.25,185.0,Tankathon,,,,,,
tyler nickel,Tyler Nickel,"6'7.25""",79.25,217.0,Tankathon,,,,,,
braden smith,Braden Smith,"5'11.5""",71.5,167.0,Tankathon,,,,,,
maliq brown,Maliq Brown,"6'9.25""",81.25,217.0,Tankathon,,,,,,
tyler bilodeau,Tyler Bilodeau,"6'8.5""",80.5,228.0,Tankathon,,,,,,
felix okpara,Felix Okpara,"6'11.25""",83.25,237.0,Tankathon,,,,,,
tamin lipsey,Tamin Lipsey,"6'1""",73.0,200.0,Tankathon,,,,,,
pavle backo,Pavle Backo,"6'11""",83.0,262.0,Tankathon,,,,,,
kylan boswell,Kylan Boswell,"6'2.5""",74.5,226.0,Tankathon,,,,,,
tobi lawal,Tobi Lawal,"6'8.5""",80.5,214.0,Tankathon,,,,,,
rafael castro,Rafael Castro,"6'10.25""",82.25,224.0,Tankathon,,,,,,
keyshawn hall,Keyshawn Hall,"6'7.25""",79.25,227.0,Tankathon,,,,,,
dillon mitchell,Dillon Mitchell,"6'8""",80.0,202.0,Tankathon,,,,,,
quadir copeland,Quadir Copeland,"6'6""",78.0,220.0,Tankathon,,,,,,
nick boyd,Nick Boyd,"6'2.25""",74.25,176.0,Tankathon,,,,,,
peter suder,Peter Suder,"6'5""",77.0,213.0,Tankathon,,,,,,
nate bittle,Nate Bittle,"7'0""",84.0,250.0,Tankathon,,,,,,
aaron nkrumah,Aaron Nkrumah,"6'6.25""",78.25,189.0,Tankathon,,,,,,
trey kaufman renn,Trey Kaufman-Renn,"6'9""",81.0,241.0,Tankathon,,,,,,
bryce hopkins,Bryce Hopkins,"6'7.25""",79.25,219.0,Tankathon,,,,,,
malik reneau,Malik Reneau,"6'9""",81.0,238.0,Tankathon,,,,,,
tucker devries,Tucker DeVries,"6'7""",79.0,220.0,Tankathon,,,,,,
darrion williams,Darrion Williams,"6'5.75""",77.75,236.0,Tankathon,,,,,,
mark mitchell,Mark Mitchell,"6'9""",81.0,230.0,Tankathon,,,,,,
henry veesaar,Henry Veesaar,7-0 1/4,84.25,227.0,NBA Draft Room mock,7-2 –,86.0,,,,
byu,BYU,,,217.0,On3 combine measurements,7’0.25″,84.25,6’8.5″,80.5,8’10”,106.0
kansas,Kansas,,,198.8,On3 combine measurements,6’9.75″,81.75,6’4.5″,76.5,8’7″,103.0
duke,Duke,,,252.8,On3 combine measurements,7’1.5″,85.5,6’8.25″,80.25,9’0″,108.0
north carolina,North Carolina,,,210.8,On3 combine measurements,7’0.25″,84.25,6’9.25″,81.25,9’0″,108.0
nba combine measurements winners,NBA Combine Measurements: Winners,,,190.2,On3 combine measurements,6’7.5″,79.5,6’3.5″,75.5,8’4.5″,100.5
louisville,Louisville,,,190.2,On3 combine measurements,6’7.5″,79.5,6’3.5″,75.5,8’4.5″,100.5
tennessee,Tennessee,,,210.8,On3 combine measurements,6’11.5″,83.5,6’9.5″,81.5,9’1.5″,109.5
kentucky,Kentucky,,,253.4,On3 combine measurements,7’5.25″,89.25,6’9″,81.0,9’1″,109.0
michigan,Michigan,,,259.8,On3 combine measurements,7’6″,90.0,7’3″,87.0,9’9″,117.0
washington,Washington,,,248.0,On3 combine measurements,7’2.25″,86.25,6’10.25″,82.25,9’0″,108.0
houston,Houston,,,239.6,On3 combine measurements,7’5″,89.0,6’10.25″,82.25,9’0.5″,108.5
nba combine measurements losers,NBA Combine Measurements: Losers,,,188.0,On3 combine measurements,6’6.25″,78.25,6’5″,77.0,8’4″,100.0
illinois,Illinois,,,188.0,On3 combine measurements,6’6.25″,78.25,6’5″,77.0,8’4″,100.0
iowa,Iowa,,,186.2,On3 combine measurements,6’6″,78.0,6’2.5″,74.5,8’2.5″,98.5
texas tech,Texas Tech,,,180.4,On3 combine measurements,6’6.25″,78.25,6’0.75″,72.75,8’0.5″,96.5
amari allen,Amari Allen,,,204.6,On3 combine measurements,6’8″,80.0,6’5.25″,77.25,8’3.5″,99.5
alabama,Alabama,,,204.6,On3 combine measurements,6’8″,80.0,6’5.25″,77.25,8’3.5″,99.5
