source,rank,name,norm_name
Tankathon mock,57,Dillon Mitchell,dillon mitchell
Tankathon mock,58,Tyler Bilodeau,tyler bilodeau
Tankathon mock,59,Kylan Boswell,kylan boswell
Tankathon mock,60,Pavle Backo,pavle backo
Rookie Scale consensus,2,Darryn Peterson,darryn peterson
Rookie Scale consensus,1,AJ Dybantsa,aj dybantsa
Rookie Scale consensus,3,Cam Boozer,cameron boozer
Rookie Scale consensus,7,Mikel Brown Jr.,mikel brown
Rookie Scale consensus,9,Nate Ament,nate ament
Rookie Scale consensus,4,Caleb Wilson,caleb wilson
Rookie Scale consensus,17,Jayden Quaintance,jayden quaintance
Rookie Scale consensus,25,Koa Peat,koa peat
Rookie Scale consensus,13,Karim López,karim lopez
Rookie Scale consensus,12,Yaxel Lendeborg,yaxel lendeborg
Rookie Scale consensus,14,Labaron Philon Jr.,labaron philon
Rookie Scale consensus,59,Darrion Williams,darrion williams
Rookie Scale consensus,19,Bennett Stirtz,bennett stirtz
Rookie Scale consensus,8,Kingston Flemings,kingston flemings
Rookie Scale consensus,21,Chris Cenac Jr.,chris cenac
Rookie Scale consensus,26,Isaiah Evans,isaiah evans
Rookie Scale consensus,65,Duke Miles,duke miles
Rookie Scale consensus,61,Tamin Lipsey,tamin lipsey
Rookie Scale consensus,15,Hannes Steinbach,hannes steinbach
Rookie Scale consensus,46,Otega Oweh,otega oweh
Rookie Scale consensus,6,Darius Acuff Jr.,darius acuff
Rookie Scale consensus,18,Cameron Carr,cameron carr
Rookie Scale consensus,35,Luigi Suigo,luigi suigo
Rookie Scale consensus,23,Allen Graves,allen graves
Rookie Scale consensus,43,Dillon Mitchell,dillon mitchell
Rookie Scale consensus,11,Aday Mara,aday mara
Rookie Scale consensus,28,Meleek Thomas,meleek thomas
Rookie Scale consensus,29,Alex Karaban,alex karaban
Rookie Scale consensus,33,Sergio de Larrea,sergio de larrea
Rookie Scale consensus,27,Henri Veesaar,henri veesaar
Rookie Scale consensus,67,Tobe Awaka,tobe awaka
Rookie Scale consensus,40,Trevon Brazile,trevon brazile
Rookie Scale consensus,53,Kylan Boswell,kylan boswell
Rookie Scale consensus,73,Malik Reneau,malik reneau
Rookie Scale consensus,77,Jaden Henley,jaden henley
Rookie Scale consensus,22,Dailyn Swain,dailyn swain
Rookie Scale consensus,30,Zuby Ejiofor,zuby ejiofor
Rookie Scale consensus,78,Xaivian Lee,xaivian lee
Rookie Scale consensus,37,Braden Smith,braden smith
Rookie Scale consensus,20,Christian Anderson Jr.,christian anderson
Rookie Scale consensus,45,Bruce Thornton,bruce thornton
Rookie Scale consensus,52,Milos Uzan,milos uzan
Rookie Scale consensus,10,Brayden Burries,brayden burries
Rookie Scale consensus,24,Ebuka Okorie,ebuka okorie
Rookie Scale consensus,39,Jaden Bradley,jaden bradley
Rookie Scale consensus,44,Emanuel Sharp,emanuel sharp
Rookie Scale consensus,31,Tarris Reed Jr.,tarris reed
Rookie Scale consensus,32,Joshua Jefferson,joshua jefferson
Rookie Scale consensus,57,Felix Okpara,felix okpara
Rookie Scale consensus,75,Cade Tyson,cade tyson
Rookie Scale consensus,34,Baba Miller,baba miller
Rookie Scale consensus,69,Lamar Wilkerson,lamar wilkerson
Rookie Scale consensus,80,Oscar Cluff,oscar cluff
Rookie Scale consensus,76,Nick Boyd,nick boyd
Rookie Scale consensus,16,Morez Johnson Jr.,morez johnson
Rookie Scale consensus,5,Keaton Wagler,keaton wagler
Rookie Scale consensus,42,Ja'Kobi Gillespie,ja kobi gillespie
Rookie Scale consensus,72,Mark Mitchell Jr.,mark mitchell
Rookie Scale consensus,38,Richie Saunders,richie saunders
Rookie Scale consensus,36,Ryan Conwell,ryan conwell
Rookie Scale consensus,51,Nick Martinelli,nick martinelli
Rookie Scale consensus,56,Keyshawn Hall,keyshawn hall
Rookie Scale consensus,48,Tyler Nickel,tyler nickel
Rookie Scale consensus,60,Nate Bittle,nate bittle
Rookie Scale consensus,41,Ugonna Onyenso,ugonna onyenso
Rookie Scale consensus,64,Tucker DeVries,tucker devries
Rookie Scale consensus,55,Maliq Brown,maliq brown
Rookie Scale consensus,79,Graham Ike,graham ike
Rookie Scale consensus,49,Izaiyah Nelson,izaiyah nelson
Rookie Scale consensus,74,Michael Ajayi,michael ajayi
Rookie Scale consensus,70,Jaron Pierre Jr.,jaron pierre
Rookie Scale consensus,54,Tyler Bilodeau,tyler bilodeau
Rookie Scale consensus,71,Aaron Nkrumah,aaron nkrumah
Rookie Scale consensus,58,Bryce Hopkins,bryce hopkins
Rookie Scale consensus,68,Malique Lewis,malique lewis
Rookie Scale consensus,66,Quadir Copeland,quadir copeland
Rookie Scale consensus,63,Rafael Castro,rafael castro
Rookie Scale consensus,62,Trey Kaufman-Renn,trey kaufman renn
Rookie Scale consensus,50,Jack Kayil,jack kayil
Rookie Scale consensus,47,Tobi Lawal,tobi lawal
Rookie Scale consensus,76,Noam Yaacov,noam yaacov
Rookie Scale consensus,82,Pavle Bačko,pavle backo
Rookie Scale consensus,83,Seth Trimble,seth trimble
Rookie Scale consensus,84,Peter Suder,peter suder
